ReporterISO3,PartnerISO3,Year,120810 in 1000 USD 
GBR,LTU,2012,0.025
NLD,SVK,2019,0.025
PER,ARE,2021,0.025
RUS,TJK,2020,0.025
RUS,UZB,2021,0.025
SVN,MKD,2015,0.025
TTO,GRD,2011,0.025
TUR,BRA,2022,0.025
TUR,JOR,2021,0.025
ZAF,BUN,2006,0.025
ZAF,GBR,2002,0.025
ZAF,ZMB,2004,0.025
ZAF,ZWE,2018,0.025
BEL,GRC,2009,0.026
BWA,ZWE,2008,0.026
CZE,HUN,2019,0.026
DEU,ROM,2018,0.026
FRA,EST,2015,0.026
IND,MDV,2017,0.026
ITA,MLT,2021,0.026
PER,CHE,2015,0.026
POL,NLD,2013,0.026
SVN,UNS,1999,0.026
BEL,MRT,2013,0.027
CHE,JPN,2004,0.027
DEU,PRT,2012,0.027
EUN,MRT,2013,0.027
FRA,DNK,2019,0.027
FRA,DNK,2020,0.027
GBR,BGR,2013,0.027
GBR,CZE,2011,0.027
ITA,SWE,2016,0.027
LKA,GRC,2006,0.027
POL,BEL,2017,0.027
POL,RUS,2020,0.027
SVN,CHE,2001,0.027
SVN,MKD,2011,0.027
BEL,ZAR,2011,0.028
EUN,UNS,2012,0.028
EUN,VNM,2009,0.028
EUN,ZAR,2011,0.028
FIN,CHE,2021,0.028
FRA,DNK,2018,0.028
FRA,DNK,2021,0.028
IND,HKG,2012,0.028
LKA,JPN,2008,0.028
LTU,GBR,2010,0.028
MDG,CHE,2009,0.028
POL,CHE,2010,0.028
SVN,HRV,2004,0.028
TTO,CAN,2012,0.028
TUR,IRQ,2020,0.028
CHE,CHN,2002,0.029
CZE,VNM,2009,0.029
DNK,EST,2009,0.029
DNK,FRO,2004,0.029
EST,LVA,2000,0.029
EUN,BGD,2008,0.029
FRA,CZE,2020,0.029
FRA,GBR,2011,0.029
GBR,DEU,2003,0.029
GBR,HRV,2015,0.029
IND,LBR,2020,0.029
IND,OAS,2011,0.029
KEN,SER,2013,0.029
MNG,JPN,2021,0.029
PRT,BGD,2008,0.029
ZAF,ZMB,2000,0.029
CHE,DEU,2016,0.03
ECU,GBR,2021,0.03
FIN,RUS,2000,0.03
ITA,EST,2016,0.03
LKA,JPN,2006,0.03
RUS,AZE,2020,0.03
SGP,MMR,2012,0.03
TTO,GRD,2005,0.03
TUR,MKD,2022,0.03
UKR,AZE,2020,0.03
AUS,NFK,2003,0.031
BGR,UNS,1996,0.031
BLX,UNS,1996,0.031
BRA,MLT,2019,0.031
CHE,HKG,2001,0.031
ESP,GIB,2009,0.031
GBR,FRA,2009,0.031
GRC,NLD,2019,0.031
MWI,ZMB,2000,0.031
NZL,SGP,2011,0.031
OAS,GUM,2006,0.031
OAS,UNS,2016,0.031
OAS,ZAF,2000,0.031
THA,ISL,2005,0.031
TZA,ARE,2013,0.031
TZA,KEN,2018,0.031
ARE,OMN,2017,0.032
AUS,TON,2005,0.032
CHE,CAN,2004,0.032
CHE,CHL,2001,0.032
CHE,DEU,2014,0.032
DEU,CHN,2014,0.032
EUN,PHL,2018,0.032
FIN,NOR,2022,0.032
FRA,PHL,2018,0.032
MNT,NLD,2017,0.032
NZL,SGP,2010,0.032
POL,GBR,2020,0.032
RWA,KEN,2020,0.032
SWZ,ZAF,2000,0.032
SYR,KWT,2006,0.032
TUR,PHL,2022,0.032
ARE,MUS,2016,0.033
ARE,MUS,2018,0.033
CHE,BEL,2007,0.033
CHN,SGP,2020,0.033
CIV,ITA,2004,0.033
CZE,HRV,2000,0.033
DNK,ISL,2005,0.033
GBR,EST,2012,0.033
GBR,MLT,2018,0.033
LTU,AUT,2019,0.033
NLD,LUX,2011,0.033
PER,ITA,2020,0.033
SGP,OAS,2015,0.033
BEL,ITA,2021,0.034
BRA,BHS,2018,0.034
CAN,MAR,2004,0.034
CZE,CHN,2021,0.034
EUN,BMU,2018,0.034
FRA,POL,2020,0.034
LTU,LVA,2022,0.034
NLD,BMU,2018,0.034
NZL,FJI,2004,0.034
OAS,MHL,2020,0.034
OAS,MUS,2020,0.034
TUR,CHN,2021,0.034
BRA,CYP,2021,0.035
EUN,STP,2019,0.035
FIN,GBR,2021,0.035
IDN,MYS,2015,0.035
IND,BLZ,2018,0.035
LKA,BMU,2005,0.035
NLD,SVK,2020,0.035
POL,LVA,2022,0.035
PRT,STP,2019,0.035
THA,MAC,2016,0.035
ZWE,JPN,2008,0.035
BRA,SGP,2022,0.036
GBR,BGR,2014,0.036
GBR,POL,2016,0.036
IND,MAC,2005,0.036
LBN,QAT,2016,0.036
OAS,AUT,2021,0.036
ROM,FRA,2019,0.036
TTO,GRD,2007,0.036
TUR,SVN,2022,0.036
ZAF,USA,2010,0.036
AUS,GBR,2018,0.037
BRA,HKG,2018,0.037
BRA,USA,2019,0.037
EUN,ISL,2005,0.037
EUN,MDA,2000,0.037
FRA,RUS,2019,0.037
FRA,SVK,2016,0.037
FRA,SVK,2017,0.037
ITA,BGR,2017,0.037
BRA,DNK,2019,0.038
CHE,FIN,2001,0.038
DEU,OAS,2019,0.038
FRA,PRT,2017,0.038
HND,CYM,2021,0.038
HUN,UKR,2015,0.038
IND,PNG,2016,0.038
IND,TZA,2017,0.038
ITA,SVK,2021,0.038
LVA,POL,2006,0.038
SER,BEL,2010,0.038
SVN,BIH,2000,0.038
TUR,ZAF,2021,0.038
BRA,MLT,2021,0.039
BRA,USA,2020,0.039
ECU,CAN,2000,0.039
EUN,MOZ,2012,0.039
GBR,HRV,2016,0.039
PRT,MOZ,2012,0.039
SER,ESP,2002,0.039
UGA,RWA,2014,0.039
BRA,DNK,2022,0.04
CHE,ARG,2006,0.04
CHE,BEL,2005,0.04
CZE,MDA,2021,0.04
GBR,BGR,2011,0.04
IND,ANT,2009,0.04
LKA,SYC,2012,0.04
LKA,UNS,1999,0.04
NZL,NFK,2006,0.04
TUR,NLD,2022,0.04
UGA,BDI,2008,0.04
ZAF,TZA,2014,0.04
ZAF,ZAR,2011,0.04
ARE,LBR,2018,0.041
DEU,ZAF,2013,0.041
GRC,ALB,2020,0.041
IDN,ARE,2015,0.041
LCA,GRD,2010,0.041
TUR,MAR,2021,0.041
ZMB,BWA,2018,0.041
CHE,ISR,2013,0.042
CHN,MAC,2003,0.042
CZE,POL,2007,0.042
DEU,HRV,2022,0.042
DEU,PRT,2021,0.042
EUN,CHL,2014,0.042
EUN,IND,2010,0.042
BRA,IND,2020,0.043
DEU,CHL,2014,0.043
EGY,ARE,2008,0.043
ROM,BEL,2018,0.043
RUS,TJK,2019,0.043
SER,CYP,2001,0.043
SVN,HRV,2016,0.043
SWZ,ZAF,2002,0.043
BRA,CPV,2013,0.044
DEU,TUR,2015,0.044
EUN,MKD,2014,0.044
EUN,TUR,2015,0.044
ROM,SVK,2020,0.044
SVN,MKD,2014,0.044
ARG,UNS,1997,0.045
BRA,MLT,2020,0.045
BRA,SLV,2004,0.045
CHE,IRN,2003,0.045
CHE,JPN,2003,0.045
LTU,LVA,2021,0.045
MYS,PHL,2010,0.045
SER,DEU,2002,0.045
THA,GBR,2012,0.045
ZAF,PAK,2001,0.045
DEU,SER,2014,0.046
ESP,GIB,2006,0.046
FIN,LVA,2013,0.046
IND,GMB,2015,0.046
TUR,ARE,2022,0.046
ZAF,GHA,2011,0.046
ZMB,CHE,2012,0.046
EUN,MAC,2019,0.047
PRT,MAC,2019,0.047
ROM,CYP,2021,0.047
ARG,PER,2007,0.048
AUT,FIN,2014,0.048
BRA,DNK,2020,0.048
BRA,GBR,2010,0.048
BRA,USA,2009,0.048
FIN,DEU,2002,0.048
GHA,HKG,2017,0.048
RUS,UZB,2020,0.048
SVN,HRV,2018,0.048
DEU,BHR,2009,0.049
GUY,KNA,2009,0.049
KEN,RWA,2020,0.049
SER,ZAF,2015,0.049
AUS,MYS,2005,0.05
BEL,CMR,2014,0.05
CHN,UNS,1999,0.05
DEU,CZE,2013,0.05
DEU,RUS,2009,0.05
DNK,GBR,2012,0.05
EUN,CMR,2014,0.05
KOR,GBR,2011,0.05
LKA,MDV,2010,0.05
MWI,IND,2016,0.05
THA,JPN,2014,0.05
THA,KOR,2021,0.05
THA,MYS,2015,0.05
TUR,GHA,2022,0.05
TUR,JPN,2022,0.05
TUR,UKR,2021,0.05
TZA,ARE,2000,0.05
IND,COG,2020,0.051
ITA,EST,2015,0.051
SER,MEX,2019,0.051
SVN,DEU,2000,0.051
SVN,MKD,2012,0.051
BEL,LUX,2020,0.052
NLD,USA,2018,0.052
POL,SER,2022,0.052
ZAF,ZAR,2012,0.052
CHE,ARG,2012,0.053
FIN,USA,2014,0.053
THA,MMR,2019,0.053
THA,MMR,2021,0.053
ZAF,LSO,2020,0.053
BEL,LUX,2021,0.054
PRT,DZA,2020,0.054
ROM,MDA,2014,0.054
ARE,AZE,2020,0.055
CRI,SLV,2008,0.055
DEU,HRV,2020,0.055
DOM,USA,2015,0.055
GBR,HRV,2018,0.055
GBR,LVA,2016,0.055
GRC,UNS,1999,0.055
LKA,GRC,2005,0.055
TTO,LCA,2006,0.055
BRA,BOL,2010,0.056
CHE,THA,2000,0.056
DEU,TUR,2010,0.056
EUN,BHR,2009,0.056
EUN,PYF,2021,0.056
FRA,PYF,2021,0.056
IND,TZA,2006,0.056
SGP,PHL,2021,0.056
AUT,LTU,2008,0.057
BRA,KOR,2019,0.057
BRA,PAN,2018,0.057
EUN,AGO,2018,0.057
EUN,UNS,2003,0.057
FIN,FRA,2003,0.057
FRA,EST,2012,0.057
IND,TGO,2014,0.057
NLD,CHN,2011,0.057
PRT,AGO,2018,0.057
ROM,MDA,2012,0.057
SGP,PNG,2006,0.057
AUT,EST,2007,0.058
BRA,PRY,2012,0.058
DEU,SVK,2014,0.058
ESP,DEU,2020,0.058
HUN,POL,2020,0.058
NIC,USA,2022,0.058
NLD,CHE,2018,0.058
OAS,ZAF,2002,0.058
RUS,AZE,2019,0.058
SVN,MKD,2013,0.058
TTO,GRD,2003,0.058
ZAF,KEN,2007,0.058
ZAF,TZA,2017,0.058
BWA,ZAF,2009,0.059
IND,PNG,2020,0.059
LKA,MDV,2001,0.059
SGP,BRN,2018,0.059
AUT,ZAF,2010,0.06
BRA,SGP,2020,0.06
DEU,KAZ,2013,0.06
EUN,KAZ,2013,0.06
EUN,TMP,2012,0.06
GTM,USA,2006,0.06
IND,BTN,2018,0.06
OAS,CRI,2004,0.06
PRT,TMP,2012,0.06
THA,USA,2010,0.06
ESP,DNK,2021,0.061
EUN,CHL,2022,0.061
LKA,ASM,2022,0.061
OAS,DOM,2007,0.061
OAS,MNP,2006,0.061
PER,ITA,2009,0.061
AUT,TUN,2013,0.062
EUN,TUN,2013,0.062
GTM,BRA,2004,0.062
HUN,ROM,2016,0.062
LTU,GBR,2011,0.062
OAS,KHM,2016,0.062
OAS,TTO,2016,0.062
OAS,ZAF,2005,0.062
THA,BHR,2021,0.062
URY,UNS,1999,0.062
ZAF,MWI,2007,0.062
ESP,GBR,2021,0.063
EUN,GIB,2019,0.063
EUN,GNB,2019,0.063
IND,SYC,2020,0.063
IND,TGO,2017,0.063
OAS,MAC,2010,0.063
PRT,GNB,2019,0.063
BRA,DEU,2012,0.064
ESP,MEX,2009,0.064
EUN,GIB,2018,0.064
ITA,ROM,2021,0.064
KOR,MNP,2017,0.064
LKA,HTI,2020,0.064
LUX,FRA,2017,0.064
SVN,HUN,2011,0.064
ZAF,NGA,2004,0.064
ARE,MUS,2017,0.065
ARG,CAN,2002,0.065
BHR,ARE,2020,0.065
EST,NOR,2007,0.065
EUN,GIB,2020,0.065
LKA,GBR,2020,0.065
OAS,GUM,2019,0.065
ZAF,CIV,2009,0.065
DEU,COL,2013,0.066
DEU,HRV,2014,0.066
DEU,MYS,2010,0.066
EUN,COL,2013,0.066
EUN,MOZ,2013,0.066
OAS,KHM,2014,0.066
OAS,LSO,2014,0.066
OAS,MAC,2017,0.066
OAS,MHL,2014,0.066
OAS,MYS,2018,0.066
OAS,NLD,2014,0.066
OAS,UNS,2017,0.066
PRT,MOZ,2013,0.066
SER,KEN,2017,0.066
AUS,NRU,2022,0.067
BRA,IND,2019,0.067
CZE,ROM,2014,0.067
DNK,NOR,2008,0.067
FIN,RUS,2006,0.067
IND,HKG,2013,0.067
IND,MDV,2018,0.067
OAS,KHM,2013,0.067
POL,LTU,2020,0.067
SER,LVA,2011,0.067
SGP,MUS,2004,0.067
AUT,ZAF,2001,0.068
CHE,MEX,2001,0.068
OAS,CAN,2011,0.068
OAS,UNS,2020,0.068
OAS,ZAF,2012,0.068
SVN,SER,2004,0.068
TTO,VCT,2002,0.068
DEU,SVK,2019,0.069
FRA,CHE,2018,0.069
GBR,LVA,2014,0.069
NZL,NCL,2008,0.069
TTO,VCT,2003,0.069
ZAF,BUN,2008,0.069
BRA,AGO,2022,0.07
EUN,CPV,2014,0.07
ITA,UNS,1997,0.07
KOR,KHM,2021,0.07
LKA,HKG,2016,0.07
PER,NLD,2016,0.07
PRT,CPV,2014,0.07
PSE,USA,2013,0.07
TZA,ARE,2021,0.07
ZWE,GBR,2003,0.07
TTO,GRD,2004,0.071
BRA,BHS,2021,0.072
DEU,MYS,2015,0.072
DEU,ZAF,2012,0.072
FRA,BGR,2011,0.072
FRA,ROM,2019,0.072
GBR,LTU,2008,0.072
KEN,UGA,2020,0.072
GBR,DEU,2015,0.073
IND,GHA,2014,0.073
RUS,ARM,2019,0.073
DEU,IND,2009,0.074
IND,JAM,2021,0.074
AUS,SLB,2021,0.075
ESP,LUX,2018,0.075
GBR,LTU,2017,0.075
GBR,LTU,2020,0.075
IND,ARM,2020,0.075
EUN,UZB,2016,0.076
GBR,BGR,2017,0.076
LKA,HKG,2022,0.076
ROM,GRC,2015,0.076
DEU,HKG,2012,0.077
DEU,SVK,2013,0.077
EUN,HKG,2012,0.077
AUT,NGA,2020,0.078
DNK,SVN,2012,0.078
