Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
WLF,,1,0,1,2.436,0,2.436,0,0,0,0,0.000808,0,0.00241,0,32,0.02875,0
LSO,Lesotho,3,0,3,458.626,0,458.626,0,0,0,0,0.021988,0,0.002556,0,96,0.098082,0.833333
PLW,Palau,1,0,1,60.202,0,60.202,0,0,0,0,0.006297,0,0.002053,0,100,0.028458,0
GEO,Georgia,3,0,3,4367.027,0,4367.027,0,0,0,0,0.021897,0,0.002541,0,78,0.085191,0.5
TJK,,2,0,2,0.755,0,0.755,0,0,0,0,0.010018,0,0.002364,0,7,0.039845,0
FSM,,1,0,1,0.326,0,0.326,0,0,0,0,0.002626,0,0.002238,0,94,0.025498,0
SWZ,Eswatini,1,1,2,11683.888,3.035,11686.923,4,0.328149,0.344392,0,0.003812,0.004637,0.002244,0,101,0.024278,0
LAO,Lao PDR,1,0,1,112.074,0,112.074,0,0,0,0,0.003269,0,0.0022,0,95,0.028347,0
ATG,,1,0,1,89.428,0,89.428,0,0,0,0,0.003812,0,0.002244,0,99,0.024278,0
AND,,1,0,1,395.852,0,395.852,0,0,0,0,0.001083,0,0.002451,0,97,0.008906,0
FRO,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0.001918,1,104,0,0
GRL,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0.001918,2,105,0,0
IOT,British Indian Ocean Ter.,0,0,0,0,0,0,0,0,0,0,0,0,0.001918,3,106,0,0
TKM,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0.001918,4,107,0,0
VGB,British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0.001918,5,108,0,0
