International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index"
NGA,,,,,,,,,,,,,,,100.00,109.51,119.25,126.69,132.60,136.40,149.41,166.03,183.01,202.01,217.87,239.94,
MKD,,,,,76.22,79.82,80.57,81.90,81.76,85.77,88.56,92.63,97.71,98.00,100.00,103.72,104.76,109.46,111.04,113.27,117.19,120.48,125.21,126.30,128.04,132.60,143.22
NOR,53.91,55.41,55.03,58.67,67.67,68.83,67.78,69.72,73.80,80.27,87.28,89.96,99.47,94.38,100.00,106.67,110.25,113.06,113.36,110.18,108.42,112.84,120.45,119.79,116.77,136.75,175.08
OMN,,,36.38,40.31,47.39,45.19,47.31,51.87,58.35,71.03,81.37,87.93,116.64,87.43,100.00,115.88,120.06,117.40,119.46,96.59,87.76,94.17,105.22,102.41,91.37,102.97,
PAK,,,,,,,,,,,63.04,67.18,73.66,91.08,100.00,118.63,125.32,134.97,145.84,152.81,144.35,150.17,155.94,170.03,186.93,206.03,232.81
PLW,,,,,86.20,81.42,81.82,79.41,81.89,88.35,91.58,92.16,98.36,98.35,100.00,100.97,108.66,115.69,119.88,132.24,136.35,135.10,134.63,131.32,130.28,130.12,
PAN,,,,,,,,,,,,85.14,91.55,97.48,100.00,105.84,112.38,118.57,123.54,126.61,129.14,131.37,132.26,132.50,130.12,132.94,
PNG,,,,,,,,,,,83.32,85.65,95.64,90.98,100.00,108.83,108.21,112.09,118.18,116.73,119.67,128.88,141.51,143.01,145.35,159.16,
PRY,22.46,23.23,27.01,29.89,34.28,39.05,46.06,53.04,59.31,67.00,72.93,82.15,92.19,95.55,100.00,105.10,110.14,114.92,118.20,120.09,125.06,127.76,130.27,134.25,137.21,148.80,160.07
PER,61.85,66.35,69.91,71.97,74.50,74.84,74.92,76.27,81.06,83.90,90.33,91.67,92.69,94.60,100.00,106.75,108.03,109.17,111.83,114.84,118.37,122.65,125.45,127.80,132.77,143.95,
PHL,,,,,62.98,66.52,69.34,71.55,75.76,80.24,84.34,87.01,93.26,95.81,100.00,103.92,105.99,108.18,111.48,110.68,112.09,114.69,118.98,119.81,121.79,124.58,
POL,53.45,60.75,67.45,71.61,75.99,78.36,79.81,80.43,84.39,86.54,88.04,91.31,94.87,98.46,100.00,103.12,105.41,105.64,106.13,107.53,107.62,109.52,110.87,114.23,119.09,125.11,139.47
PRT,66.68,69.27,71.92,74.34,76.89,79.74,83.08,85.93,87.99,90.93,93.82,96.60,98.28,99.36,100.00,99.73,99.35,101.58,102.30,104.36,106.16,107.76,109.71,111.63,113.87,115.59,120.78
ROU,3.03,7.14,10.57,15.81,22.64,31.23,38.33,47.20,54.49,61.04,67.51,78.19,90.71,94.42,100.00,103.98,107.93,109.43,111.30,114.94,117.95,123.44,131.10,140.03,145.78,153.38,
RUS,,,,,,,,38.70,46.55,55.54,63.96,72.79,85.86,87.58,100.00,115.91,126.24,132.96,142.91,153.28,157.64,166.07,182.67,188.31,189.99,,
RWA,,,,,,,,,,,69.96,79.01,90.43,96.90,100.00,107.20,112.28,115.27,120.74,121.36,127.45,137.75,136.89,140.29,149.73,153.84,
SMR,,,,,,,,,,,,95.12,96.72,100.40,100.00,101.03,103.62,107.10,107.03,105.01,106.27,107.75,110.66,111.67,112.05,,
STP,14.48,20.17,23.37,25.21,27.71,28.01,31.36,36.19,40.40,48.16,55.48,63.36,82.64,88.89,100.00,107.76,122.43,135.57,146.71,154.21,162.09,165.29,169.56,181.38,191.42,196.55,
SAU,,,,,,,,,,,,,,,100.00,115.41,120.02,118.59,115.92,96.70,93.98,100.96,116.33,114.27,104.60,119.07,139.69
SEN,,,,,,,,,,,,,,,,,,,106.88,108.03,109.06,109.71,108.79,111.06,112.84,114.68,
SRB,6.07,7.34,9.13,11.68,21.13,39.48,47.18,53.07,57.38,65.80,73.93,80.37,87.67,94.58,100.00,108.91,115.66,121.59,124.73,127.07,129.04,132.87,135.50,138.80,142.20,150.61,166.57
SLE,,,,,,41.95,40.31,45.61,51.45,60.01,67.41,71.99,79.18,85.34,100.00,117.37,131.51,140.61,143.14,171.25,181.28,197.49,225.18,242.52,268.99,286.99,
SGP,89.31,90.28,89.08,85.89,89.21,87.59,86.81,85.25,88.62,90.31,91.97,97.41,96.07,98.90,100.00,101.17,101.67,101.23,100.96,104.06,104.53,107.45,111.22,110.82,107.53,111.86,
SVK,58.43,61.23,64.20,68.83,75.36,79.22,82.34,86.73,91.70,94.04,96.76,97.84,100.64,99.47,100.00,101.68,102.96,103.48,103.28,103.06,102.53,103.78,105.89,108.53,111.10,113.75,122.34
SVN,51.74,56.10,60.27,64.20,67.78,73.66,79.24,83.71,86.52,87.84,89.79,93.54,97.72,101.04,100.00,101.04,101.52,103.15,103.62,104.66,105.58,107.12,109.38,111.86,113.27,116.22,124.62
SLB,,,,,,,,64.74,67.18,74.37,80.57,88.06,93.72,98.28,100.00,104.48,109.45,111.91,116.02,119.91,120.33,123.43,133.12,134.78,132.99,,
ZAF,35.52,38.41,41.52,44.38,48.45,52.23,58.78,62.54,66.32,70.03,74.28,80.40,86.71,94.23,100.00,105.54,110.48,116.94,123.22,130.05,139.09,146.70,152.20,159.26,168.32,178.79,187.83
ESP,66.93,68.51,70.27,72.05,74.45,77.51,80.67,83.85,87.10,90.68,94.28,97.51,99.70,99.85,100.00,99.98,99.87,100.26,100.04,100.58,100.91,102.22,103.49,104.99,106.28,108.72,113.50
LKA,,,,,,,,,,,,,,,100.00,103.83,115.07,122.25,125.81,100.00,105.44,111.21,115.99,120.48,124.26,134.27,
KNA,64.67,67.81,69.97,71.46,70.56,72.91,75.45,76.71,79.66,78.36,89.46,95.12,96.53,99.48,100.00,105.63,104.93,105.20,106.54,106.29,107.69,112.12,111.05,114.47,112.03,112.59,
LCA,,,,,,,,,,,89.96,93.26,95.65,94.71,100.00,101.71,103.65,109.72,114.15,117.53,117.13,121.13,121.71,124.95,119.75,119.03,
SDN,13.02,18.90,23.74,28.10,32.35,35.13,38.95,42.77,50.15,59.21,63.74,73.50,80.03,81.52,100.00,126.33,164.39,224.27,300.68,329.31,462.13,546.37,859.23,"1,313.39","3,471.07","9,992.35",
SWE,79.94,81.16,81.82,82.55,83.80,85.88,87.21,88.69,88.98,89.59,91.17,93.75,96.78,99.06,100.00,101.09,102.10,103.05,104.85,107.07,108.70,111.02,113.68,116.58,118.90,122.31,129.29
CHE,90.01,89.58,89.41,89.45,90.67,91.55,91.33,92.40,92.68,93.53,95.54,97.82,99.23,99.69,100.00,99.98,100.04,99.96,99.30,98.05,97.48,97.12,97.86,97.76,97.03,98.06,101.28
SYR,39.73,43.35,43.54,46.57,52.64,54.15,56.60,55.51,61.24,68.56,74.80,82.85,96.07,93.40,100.00,,,,,,,,,,,,
TJK,,,10.04,12.70,15.75,19.87,24.25,31.30,36.63,40.14,48.31,61.76,78.87,88.90,100.00,113.33,127.04,132.36,139.81,139.81,147.76,162.32,166.73,172.54,175.46,189.15,
THA,66.20,69.12,74.70,72.77,73.74,75.16,76.43,78.82,81.93,85.48,89.72,91.88,98.49,94.78,100.00,104.49,106.39,109.16,111.08,113.83,117.69,118.20,118.38,118.75,118.29,121.86,122.84
TLS,,,,,,72.45,76.37,81.55,73.01,74.34,76.11,82.56,88.56,90.12,100.00,111.57,118.44,138.15,137.15,147.03,147.23,146.82,144.89,152.17,122.73,195.56,
TON,41.28,41.25,42.41,45.75,46.95,48.85,52.54,58.53,63.39,68.45,80.97,84.57,88.42,92.81,100.00,100.48,104.69,102.21,102.22,107.62,110.91,117.13,123.16,132.59,127.05,124.58,
TUR,,,9.46,14.59,21.80,33.35,45.87,56.56,63.59,68.09,74.48,79.10,88.62,93.45,100.00,108.20,116.23,123.53,132.66,143.07,154.70,171.69,199.98,227.61,261.42,337.10,
TKM,12.75,20.60,24.32,29.92,32.85,37.67,40.83,45.79,49.61,53.09,59.60,65.13,103.99,114.10,100.00,112.25,119.66,123.54,128.76,121.84,116.45,123.66,128.72,144.93,149.98,167.65,
TUV,,,,,77.82,80.82,84.72,85.71,90.63,91.99,95.78,94.98,99.52,100.57,100.00,101.64,103.85,104.76,112.62,116.23,125.71,130.13,138.72,148.57,150.11,153.04,
UGA,,,,,,,,,,,,,80.08,89.77,100.00,105.41,112.97,92.64,134.91,122.38,129.93,130.57,134.57,138.37,141.14,140.86,
UKR,,,,,,,,,,,,,,,100.00,114.20,123.10,128.44,148.87,206.75,242.10,295.76,341.11,369.24,404.34,509.54,
GBR,75.33,75.44,76.61,77.71,78.73,80.15,81.94,84.00,86.23,88.83,91.49,93.63,96.74,98.59,100.00,102.12,103.63,105.88,107.23,108.00,110.03,112.00,113.95,116.35,123.26,123.28,129.95
USA,76.05,77.37,78.24,79.34,81.14,82.96,84.26,85.92,88.23,90.99,93.80,96.34,98.18,98.81,100.00,102.08,103.99,105.81,107.79,108.86,109.96,112.04,114.74,116.80,118.32,123.64,132.30
VUT,,,,,,,,,,,84.77,89.67,96.09,98.55,100.00,102.79,102.31,105.39,106.85,113.12,114.90,121.06,124.95,129.05,132.64,,
VNM,,,,,,,,,52.76,57.53,62.46,68.48,84.01,89.23,100.00,121.41,132.44,137.78,142.88,140.43,142.98,149.22,154.63,158.38,160.70,165.17,171.54
PSE,,,,,,,,,,,,,,,,104.19,105.00,114.18,116.93,113.49,113.09,119.67,119.07,122.83,126.02,136.22,
YEM,20.41,23.12,21.19,28.28,34.88,35.84,38.96,43.21,49.30,58.44,66.38,73.61,88.61,80.90,100.00,118.11,125.07,136.59,146.38,214.41,214.70,254.53,292.34,313.88,381.12,,
ZWE,,,63.69,62.65,63.03,62.78,64.94,69.14,72.92,75.27,70.24,69.53,71.59,96.07,100.00,102.55,106.69,116.71,116.41,117.11,119.98,"1,188.97",196.13,"1,060.03","7,091.45","16,200.49",
