Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,Authority,Hub,componentnumber,strongcompnum,eigencentrality,period,network
ESP,Spain,40,55,95,16491944.84,85787.6,16577732.44,4,0.536408,0.605958,751.66401,0.009065,0.238014,0.140957,0.142493,0,89,0.691331,2,1201
MLI,Mali,8,2,10,129.079,14.819,143.898,4,0.383681,0.403092,12.045994,0.003869,0.5,0.027621,0.005518,0,89,0.111253,2,1201
AFG,Afghanistan,8,1,9,5208.522,459.078,5667.6,5,0.30274,0.314253,1.074278,0.003208,0.410714,0.028807,0.002251,0,89,0.104522,2,1201
PAK,Pakistan,21,11,32,5799523.817,802.223,5800326.04,4,0.433333,0.465686,266.938371,0.007266,0.407407,0.079791,0.028945,0,89,0.319694,2,1201
AGO,Angola,16,3,19,7038.002,51.317,7089.319,5,0.292715,0.308371,29.977949,0.004011,0.421569,0.062035,0.002211,0,89,0.256306,2,1201
NAM,Namibia,7,6,13,326.786,41.908,368.694,4,0.404762,0.431373,166.717911,0.003917,0.390909,0.019096,0.017699,0,89,0.077172,2,1201
STP,Sao Tome and Principe,4,0,4,55.937,0,55.937,0,0,0,0,0.003,0.5,0.014569,0,0,30,0.054522,2,1201
ZAR,Congo [DRC],13,3,16,1465.623,70.818,1536.441,5,0.364086,0.384389,68.435855,0.004646,0.455128,0.044702,0.005277,0,89,0.152579,2,1201
ARE,United Arab Emirates,48,10,58,295705.213,165.197,295870.41,5,0.358185,0.386652,512.450292,0.019642,0.278788,0.140593,0.015751,0,89,0.685331,2,1201
AZE,Azerbaijan,17,0,17,60582.015,0,60582.015,0,0,0,0,0.007055,0.529412,0.056343,0,0,38,0.326443,2,1201
BHR,Bahrain,18,5,23,1045.304,7.811,1053.115,4,0.412313,0.437406,493.243798,0.012039,0.424242,0.058863,0.012513,0,89,0.316761,2,1201
KWT,Kuwait,17,5,22,1700.183,12.462,1712.645,5,0.344774,0.36365,27.236946,0.006465,0.5,0.069747,0.013271,0,89,0.331313,2,1201
LBR,Liberia,13,0,13,388.379,0,388.379,0,0,0,0,0.00488,0.666667,0.060593,0,0,45,0.254909,2,1201
OMN,Oman,14,2,16,726.495,5.241,731.736,6,0.264988,0.278582,14.19159,0.007179,0.519048,0.057788,0.004458,0,89,0.272975,2,1201
QAT,Qatar,24,0,24,1867.921,0,1867.921,0,0,0,0,0.0088,0.458333,0.084609,0,0,26,0.435304,2,1201
SEN,Senegal,16,4,20,7437.77,1997.152,9434.922,4,0.415414,0.438914,304.871998,0.008192,0.382353,0.059714,0.009423,0,89,0.263684,2,1201
SYC,Seychelles,7,0,7,1878.614,0,1878.614,0,0,0,0,0.003832,0.452381,0.028055,0,0,13,0.110238,2,1201
SYR,Syrian Arab Republic,8,0,8,80382.311,0,80382.311,0,0,0,0,0.003921,0.535714,0.03189,0,0,12,0.128902,2,1201
TZA,Tanzania,16,28,44,50226.429,96115.82,146342.249,4,0.518779,0.554676,675.765125,0.006148,0.349432,0.050665,0.075502,0,89,0.208463,2,1201
ARG,Argentina,16,47,63,10282146.12,27313380.86,37595526.98,4,0.54703,0.599925,148.888456,0.003931,0.337647,0.068942,0.131251,0,89,0.279043,2,1201
BEL,Belgium,34,54,88,1928374.838,438824.645,2367199.483,4,0.54703,0.610483,452.41849,0.008148,0.2872,0.123429,0.153846,0,89,0.621996,2,1201
BGD,Bangladesh,19,1,20,5882397.726,0.01,5882397.736,4,0.3536,0.365762,8.608372,0.004331,0.573684,0.074003,0.00059,0,89,0.301721,2,1201
BOL,Bolivia,4,18,22,33368.521,793618.014,826986.535,4,0.461378,0.5,2.918425,0.001935,0.444444,0.015887,0.044839,0,89,0.036906,2,1201
BRA,Brazil,15,95,110,1709649.568,285121741.8,286831391.4,3,0.631429,0.71267,480.106693,0.003363,0.167544,0.06558,0.215714,0,89,0.264272,2,1201
CAN,Canada,46,100,146,2026674.031,20195321.09,22221995.12,3,0.64058,0.723982,1855.61926,0.011594,0.166639,0.140826,0.231047,0,89,0.678437,2,1201
CHL,Chile,23,22,45,298041.778,114059.943,412101.721,4,0.503417,0.535822,142.061785,0.004969,0.513793,0.098018,0.069669,0,89,0.415255,2,1201
CHN,China,47,118,165,367040500.2,1074861.219,368115361.4,3,0.677914,0.76546,3102.442189,0.011676,0.115208,0.135226,0.23152,0,89,0.709844,2,1201
COL,Colombia,12,8,20,2214640.464,826.436,2215466.9,4,0.443775,0.470211,22.343583,0.002771,0.422794,0.055775,0.017841,0,89,0.185104,2,1201
CRI,Costa Rica,11,5,16,1233766.348,46.408,1233812.756,4,0.435897,0.459276,12.131356,0.00365,0.55303,0.050006,0.016083,0,89,0.182167,2,1201
CUB,Cuba,7,0,7,363035.123,0,363035.123,0,0,0,0,0.002191,0.738095,0.036676,0,0,48,0.110735,2,1201
EGY,"Egypt, Arab Rep.",19,33,52,12667137.09,2725.47,12669862.56,4,0.501134,0.550905,316.069116,0.004163,0.317653,0.09044,0.092365,0,89,0.319597,2,1201
FRA,France,55,84,139,2143530.606,498577.202,2642107.808,3,0.612188,0.687783,2115.938233,0.02001,0.194692,0.160982,0.212775,0,89,0.885549,2,1201
GBR,United Kingdom,50,73,123,3238575.843,35394.598,3273970.441,3,0.595687,0.66365,1084.664596,0.011464,0.227212,0.160913,0.197314,0,89,0.835499,2,1201
GRC,Greece,27,6,33,1162311.555,5596.796,1167908.351,4,0.389085,0.414781,18.290321,0.005372,0.576355,0.118566,0.017449,0,89,0.533477,2,1201
HKG,"Hong Kong, China",33,8,41,196203.725,9964.501,206168.226,4,0.465263,0.487557,225.91907,0.007981,0.41967,0.123839,0.018831,0,89,0.587846,2,1201
IDN,Indonesia,26,18,44,10582911.56,28395.197,10611306.76,3,0.487859,0.518854,110.172807,0.005489,0.422689,0.104585,0.057861,0,89,0.413476,2,1201
IND,India,42,99,141,503142.816,892033.546,1395176.362,3,0.633238,0.719457,1996.426688,0.011177,0.154292,0.128502,0.208129,0,89,0.570917,2,1201
IRN,"Iran, Islamic Rep.",20,14,34,7185661.432,254.598,7185916.03,4,0.428295,0.465686,112.408722,0.005178,0.383871,0.087407,0.034063,0,89,0.378019,2,1201
ITA,Italy,50,54,104,6707863.341,226566.538,6934429.879,4,0.533816,0.602941,549.940446,0.010417,0.261982,0.159887,0.145614,0,89,0.80868,2,1201
JPN,Japan,41,21,62,16017686.08,3655.388,16021341.47,3,0.502273,0.533183,284.44824,0.009701,0.385638,0.135841,0.075367,0,89,0.633436,2,1201
LBN,Lebanon,20,11,31,572422.384,309.523,572731.907,4,0.419355,0.453243,27.38848,0.003761,0.402709,0.094185,0.025321,0,89,0.350514,2,1201
MYS,Malaysia,35,20,55,3086845.342,94278.659,3181124.001,4,0.480435,0.516968,192.997183,0.007889,0.394241,0.128328,0.056149,0,89,0.549816,2,1201
NGA,Nigeria,22,27,49,116680.422,71810.817,188491.239,4,0.501134,0.541855,494.126718,0.007104,0.346069,0.091424,0.081795,0,89,0.368806,2,1201
NPL,Nepal,13,7,20,269025.352,43.125,269068.477,4,0.472222,0.491327,5.372649,0.003255,0.544118,0.056125,0.026941,0,89,0.196669,2,1201
OAS,"Other Asia, nes",34,47,81,11250903.19,1328.73,11252231.92,3,0.54703,0.599548,845.319066,0.007599,0.220518,0.122761,0.096737,0,89,0.575068,2,1201
PAN,Panama,15,0,15,153237.08,0,153237.08,0,0,0,0,0.003485,0.580952,0.065679,0,0,32,0.236097,2,1201
PER,Peru,11,12,23,1186691.418,192.818,1186884.236,4,0.45102,0.482278,19.255616,0.002775,0.457895,0.049858,0.035982,0,89,0.173671,2,1201
PHL,Philippines,21,10,31,741209.193,641.913,741851.106,3,0.462343,0.487934,51.824305,0.004649,0.576667,0.091016,0.033592,0,89,0.395267,2,1201
PRT,Portugal,26,29,55,3436629.81,35222.47,3471852.28,4,0.501134,0.544872,311.678862,0.005415,0.322259,0.114911,0.07001,0,89,0.545644,2,1201
PRY,Paraguay,5,52,57,87194.767,20489551.71,20576746.48,3,0.553885,0.61086,17.959457,0.001992,0.308824,0.017191,0.14646,0,89,0.047796,2,1201
RUS,Russian Federation,40,29,69,8372433.541,1863514.148,10235947.69,3,0.506881,0.548265,398.418972,0.010403,0.351299,0.136194,0.077983,0,89,0.701204,2,1201
SAU,Saudi Arabia,30,2,32,1478696.289,209.345,1478905.634,5,0.302326,0.316893,226.228541,0.012127,0.490323,0.11985,0.005627,0,89,0.531638,2,1201
SGP,Singapore,41,32,73,208000.048,4441.724,212441.772,3,0.502273,0.549774,545.559127,0.010434,0.312369,0.127926,0.084343,0,89,0.617721,2,1201
THA,Thailand,34,41,75,12483328.74,26071.122,12509399.86,3,0.540342,0.586727,506.915284,0.007391,0.291289,0.115347,0.111767,0,89,0.481133,2,1201
TUN,Tunisia,12,2,14,2240195.023,664.99,2240860.013,4,0.381693,0.40083,3.144178,0.002662,0.576923,0.058011,0.005861,0,89,0.192403,2,1201
TUR,Turkey,39,58,97,10011871.7,646514.639,10658386.34,4,0.5525,0.619532,841.338002,0.008932,0.213453,0.127183,0.145677,0,89,0.601075,2,1201
UNS,Unspecified,16,0,16,182454.429,0,182454.429,0,0,0,0,0.004899,0.454167,0.055643,0,0,11,0.279541,2,1201
URY,Uruguay,9,41,50,318438.978,11779541.33,12097980.31,4,0.542998,0.588612,66.386947,0.002524,0.354239,0.039873,0.120762,0,89,0.145266,2,1201
USA,United States,71,120,191,4223494.588,232571033.5,236794528.1,3,0.682099,0.769985,6414.542947,0.025113,0.126307,0.176841,0.246038,0,89,1,2,1201
VEN,Venezuela,11,1,12,522555.267,0.413,522555.68,1,1,1,4.788016,0.004173,0.371212,0.035668,0.000437,0,2,0.123021,2,1201
VNM,Vietnam,39,32,71,7341892.291,5866.477,7347758.768,3,0.523697,0.563348,299.86346,0.00812,0.321429,0.135194,0.092121,0,89,0.594071,2,1201
ZAF,South Africa,34,55,89,242312.783,236807.426,479120.209,3,0.566667,0.622172,1324.861448,0.009179,0.223003,0.1165,0.118716,0,89,0.463438,2,1201
AUS,Australia,26,15,41,16784.337,41619.076,58403.413,3,0.484649,0.512066,127.959795,0.006099,0.400568,0.093389,0.041342,0,89,0.460819,2,1201
CXR,,4,0,4,2.299,0,2.299,0,0,0,0,0.002926,0.416667,0.005315,0,0,23,0.05701,2,1201
FJI,Fiji,4,5,9,325.294,6.703,331.997,5,0.30274,0.322926,8.827313,0.002559,0.214286,0.013887,0.004847,0,89,0.076717,2,1201
KOR,"Korea, Rep.",28,43,71,6088677.437,4704.63,6093382.067,3,0.533816,0.585973,728.460511,0.00807,0.242488,0.107794,0.102917,0,89,0.50953,2,1201
NCL,New Caledonia,6,0,6,1755.865,0,1755.865,0,0,0,0,0.002948,0.433333,0.020105,0,0,22,0.108185,2,1201
NZL,New Zealand,20,11,31,10558.706,31.772,10590.478,4,0.427466,0.460407,632.274162,0.005483,0.306878,0.077406,0.011234,0,89,0.381088,2,1201
PNG,Papua New Guinea,8,0,8,2101.236,0,2101.236,0,0,0,0,0.003216,0.910714,0.030359,0,0,16,0.179378,2,1201
AUT,Austria,29,72,101,566316.899,457784.741,1024101.64,3,0.589333,0.659125,356.090398,0.006928,0.267504,0.10182,0.205901,0,89,0.591291,2,1201
BGR,Bulgaria,25,9,34,36675.369,9008.421,45683.79,4,0.413084,0.444193,25.950724,0.005939,0.637566,0.098904,0.025098,0,89,0.550175,2,1201
BIH,Bosnia and Herzegovina,12,8,20,140851.022,21858.189,162709.211,4,0.423372,0.452112,6.685291,0.003394,0.614286,0.05018,0.0231,0,89,0.228503,2,1201
BLR,Belarus,11,4,15,840358.041,14655.1,855013.141,4,0.382353,0.404977,0.723729,0.003244,0.737179,0.052224,0.011555,0,89,0.236247,2,1201
CHE,Switzerland,36,28,64,517883.857,1824.855,519708.712,4,0.503417,0.544872,85.127431,0.007036,0.468816,0.136597,0.09393,0,89,0.645622,2,1201
