Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2015 in 1000 USD ,2016 in 1000 USD ,2017 in 1000 USD ,2018 in 1000 USD ,2019 in 1000 USD ,2020 in 1000 USD ,2021 in 1000 USD 
H0,PAK,1201,Pakistan,WLD, World,Export,6,0.11,5.226,21.447,316.001,211.976,41.135,206.179
H0,CHE,1201,Switzerland,WLD, World,Export,6,196.441,307.78,183.389,356.293,146.475,160.947,176.822
H0,ARE,1201,United Arab Emirates,WLD, World,Export,6,0,26.685,0,0.569,2.559,3.003,129.973
H0,BLR,1201,Belarus,WLD, World,Export,6,0.7,69.2,107.6,12388.8,1314,582.1,120.2
H0,GTM,1201,Guatemala,WLD, World,Export,6,26.938,59.485,29.492,17.927,40.39,57.326,118.892
H0,OAS,1201,"Other Asia, nes",WLD, World,Export,6,152.671,117.241,265.841,252.049,252.894,131.953,95.857
H0,EGY,1201,"Egypt, Arab Rep.",WLD, World,Export,6,731.959,269.122,266.536,230.248,132.318,308.334,66.551
H0,LKA,1201,Sri Lanka,WLD, World,Export,6,43.829,25.658,79.701,,86.449,84.984,65.887
H0,DOM,1201,Dominican Republic,WLD, World,Export,6,40.418,0.502,27.792,2.673,2.073,41.249,58.444
H0,KGZ,1201,Kyrgyz Republic,WLD, World,Export,6,,,23.888,,0.646,90.85,56.51
H0,ISR,1201,Israel,WLD, World,Export,6,146,58,19,,77,3,45
H0,ECU,1201,Ecuador,WLD, World,Export,6,7.71,,,6.532,17.986,6.762,38.126
H0,EST,1201,Estonia,WLD, World,Export,6,137.895,589.394,615.485,614.724,5.291,28.831,31.642
H0,NIC,1201,Nicaragua,WLD, World,Export,6,56.046,12.816,43.268,17.11,5,8.55,24.394
H0,LUX,1201,Luxembourg,WLD, World,Export,6,10.087,15.283,3.833,20.258,16.548,22.161,24.039
H0,RWA,1201,Rwanda,WLD, World,Export,6,25.687,,23.689,24.401,2.262,2.094,22.277
H0,NOR,1201,Norway,WLD, World,Export,6,0.212,1.897,1.017,0.392,29.909,143.994,10.47
H0,BWA,1201,Botswana,WLD, World,Export,6,0.125,2.804,,32.491,,0.378,6.917
H0,MUS,1201,Mauritius,WLD, World,Export,6,0.067,0.516,0.069,,,0.398,3.18
H0,GUY,1201,Guyana,WLD, World,Export,6,,,0.227,0.668,2.357,2.13,1.851
H0,LBN,1201,Lebanon,WLD, World,Export,6,190.603,78.014,25.215,0.957,0.75,0.315,1.573
H0,NZL,1201,New Zealand,WLD, World,Export,6,10.606,4.015,5.766,2.355,1.58,0.908,0.925
H0,COL,1201,Colombia,WLD, World,Export,6,42.722,35.8,49.58,20.882,112.95,18.781,0.675
H0,TUN,1201,Tunisia,WLD, World,Export,6,664.461,,,,,,0.529
H0,PHL,1201,Philippines,WLD, World,Export,6,381.6,,1.319,0.414,83.95,0.969,0.323
H0,FJI,1201,Fiji,WLD, World,Export,6,1.517,0,2.838,0.047,0.042,1.872,0.006
H0,TTO,1201,Trinidad and Tobago,WLD, World,Export,6,2.105,0.622,0.159,1.968,0,0,0
H0,AFG,1201,Afghanistan,WLD, World,Export,6,,,456.769,2.309,,,
H0,AGO,1201,Angola,WLD, World,Export,6,,,33.851,11.928,6.016,,
H0,BDI,1201,Burundi,WLD, World,Export,6,0.127,,,,,0.687,
H0,BGR,1201,Bulgaria,WLD, World,Export,6,1111.31,3429.107,1515.875,579.22,979.15,316.149,
H0,BHR,1201,Bahrain,WLD, World,Export,6,0.564,0,0,,0.816,,
H0,BLZ,1201,Belize,WLD, World,Export,6,,,,16.562,,,
H0,BRB,1201,Barbados,WLD, World,Export,6,,,,,,0.328,
H0,BRN,1201,Brunei,WLD, World,Export,6,10.86,10.049,,0,60.373,,
H0,CIV,1201,Cote d'Ivoire,WLD, World,Export,6,172.882,365.035,151.493,12.097,28.403,,
H0,CMR,1201,Cameroon,WLD, World,Export,6,,,8382.721,438.849,,,
H0,CRI,1201,Costa Rica,WLD, World,Export,6,0.99,,,0.828,1.15,2.655,
H0,DZA,1201,Algeria,WLD, World,Export,6,,,0.007,,,,
H0,ETH,1201,Ethiopia(excludes Eritrea),WLD, World,Export,6,13885.169,30729.094,21871.414,24559.826,69057.675,39117.549,
H0,FIN,1201,Finland,WLD, World,Export,6,11.037,,1.005,2.556,0.004,0.002,
H0,GEO,1201,Georgia,WLD, World,Export,6,323.037,,,,32.725,7.794,
H0,GHA,1201,Ghana,WLD, World,Export,6,130.775,9598.667,1622.089,2580.444,10857.073,,
H0,HND,1201,Honduras,WLD, World,Export,6,,,0.01,,,,
H0,IRL,1201,Ireland,WLD, World,Export,6,450.943,400.83,22.526,374.764,825.579,795.855,
H0,IRN,1201,"Iran, Islamic Rep.",WLD, World,Export,6,41.763,70.445,28.355,25.129,,,
H0,JAM,1201,Jamaica,WLD, World,Export,6,2.068,,1.06,2.926,0.148,0.771,
H0,JOR,1201,Jordan,WLD, World,Export,6,,78.217,20.422,,12.692,0,
H0,KAZ,1201,Kazakhstan,WLD, World,Export,6,7054.988,8158.001,7209.28,15058.807,15420.752,21516.615,
H0,KHM,1201,Cambodia,WLD, World,Export,6,,0.67,56.977,,2.085,16.45,
H0,KOR,1201,"Korea, Rep.",WLD, World,Export,6,484.609,738.914,91.762,154.14,162.437,191.342,
H0,KWT,1201,Kuwait,WLD, World,Export,6,,0,0,3.337,0,,
H0,LAO,1201,Lao PDR,WLD, World,Export,6,21.05,54.653,38.867,1381.392,1550.308,2160.944,
H0,LCA,1201,St. Lucia,WLD, World,Export,6,0,,,,,,
H0,LSO,1201,Lesotho,WLD, World,Export,6,,,,,0.348,0.062,
H0,MAR,1201,Morocco,WLD, World,Export,6,,,,0.025,,0.094,
H0,MDG,1201,Madagascar,WLD, World,Export,6,0.012,,,,,,
H0,MKD,1201,North Macedonia,WLD, World,Export,6,12.58,0.814,0.638,0.317,5.748,1.783,
H0,MLI,1201,Mali,WLD, World,Export,6,,14.819,,,,,
H0,MOZ,1201,Mozambique,WLD, World,Export,6,96.67,202.043,192.974,414.308,1964.143,11525.319,
H0,MWI,1201,Malawi,WLD, World,Export,6,5473.935,8516.147,19304.744,22434.656,17365.323,13348.487,
H0,NAM,1201,Namibia,WLD, World,Export,6,0.125,,0.029,11.047,,29.403,
H0,NER,1201,Niger,WLD, World,Export,6,,,2.734,,,,
H0,NPL,1201,Nepal,WLD, World,Export,6,0.417,8.38,22.484,1.252,1.54,,
H0,OMN,1201,Oman,WLD, World,Export,6,0.26,0,0,0,0,4.98,
H0,PER,1201,Peru,WLD, World,Export,6,108.759,4.351,15.39,6.275,11.742,14.725,
H0,SAU,1201,Saudi Arabia,WLD, World,Export,6,0,,47.274,41.072,,65.236,
H0,SGP,1201,Singapore,WLD, World,Export,6,1091.435,340.716,285.683,194.047,223.334,349.895,
H0,SLE,1201,Sierra Leone,WLD, World,Export,6,,,,0.057,,,
H0,SUD,1201,Sudan,WLD, World,Export,6,,,24,0.211,,,
H0,SWZ,1201,Eswatini,WLD, World,Export,6,1.57,2.092,2.205,,,0.006,
H0,THA,1201,Thailand,WLD, World,Export,6,5119.42,3259.092,2435.605,2007.644,1913.062,1068.263,
H0,UGA,1201,Uganda,WLD, World,Export,6,2783.897,6315.576,4501.989,9156.837,4205.8,14212.081,
H0,URY,1201,Uruguay,WLD, World,Export,6,1121982.537,857231.028,1200432.464,526825.002,1000609.688,752225.137,
H0,UZB,1201,Uzbekistan,WLD, World,Export,6,,,,0.121,,,
H0,VNM,1201,Vietnam,WLD, World,Export,6,495.817,330.754,18.335,654.507,1402.103,373.546,
H0,WSM,1201,Samoa,WLD, World,Export,6,,,0.108,,,,
H0,YEM,1201,Yemen,WLD, World,Export,6,0.07,,,,,,
H0,ZAF,1201,South Africa,WLD, World,Export,6,2793.881,4690.865,1508.837,14730.067,3337.969,3494.529,
H0,ZAR,1201,"Congo, Dem. Rep.",WLD, World,Export,6,,46.49,1.894,2.673,11.547,8.214,
H0,ZMB,1201,Zambia,WLD, World,Export,6,6574.401,3717.421,44738.689,3905.72,4371.525,5714.968,
H0,ZWE,1201,Zimbabwe,WLD, World,Export,6,76.378,40.908,495.923,251.46,246.487,316.954,
