International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index"
BRA,42.41,45.35,46.80,49.07,52.53,56.12,60.87,69.82,74.43,79.54,82.87,85.89,90.77,95.20,100.00,106.64,112.40,119.37,126.93,138.39,150.48,155.67,161.37,167.40,172.77,187.12,204.48
BRN,92.72,94.31,93.89,93.50,94.96,95.53,93.31,93.59,94.36,95.53,95.68,96.61,98.62,99.64,100.00,100.14,100.25,100.64,100.43,99.94,99.66,98.41,99.42,99.03,100.95,102.70,106.48
BGR,3.61,41.78,49.58,50.86,56.10,60.23,63.73,65.23,69.24,72.73,78.01,84.56,95.00,97.62,100.00,104.22,107.30,108.25,106.72,106.61,105.76,107.94,110.97,114.42,116.33,120.17,138.58
BFA,70.65,72.28,75.96,75.14,74.92,78.67,80.38,82.01,81.69,86.93,88.95,88.75,98.21,100.77,100.00,102.76,106.68,107.25,106.98,107.75,108.23,109.83,111.98,108.36,110.40,114.43,130.79
BDI,22.10,28.98,32.60,33.71,41.94,45.84,45.22,50.03,54.12,61.29,62.98,68.27,84.94,93.90,100.00,109.59,129.50,139.77,145.93,154.02,162.58,188.68,183.37,182.11,195.44,211.87,251.70
CPV,68.21,74.04,77.30,80.66,78.67,81.30,82.83,83.82,82.23,82.58,87.01,90.85,97.00,97.96,100.00,104.47,107.13,108.74,108.48,108.62,107.10,107.94,109.29,110.50,111.17,113.24,
KHM,47.69,51.49,59.11,61.48,61.00,60.63,60.76,61.33,63.98,68.21,72.17,78.46,97.37,96.16,100.00,105.48,108.57,111.77,116.08,117.50,121.04,124.57,127.63,130.11,133.94,137.85,145.22
CMR,69.62,72.95,75.26,76.67,77.61,81.04,83.34,83.86,84.06,85.75,90.14,90.97,95.82,98.74,100.00,102.94,105.76,107.92,109.93,112.87,113.85,114.58,115.81,118.65,121.54,124.30,132.07
CAN,76.35,77.59,78.36,79.72,81.89,83.96,85.85,88.22,89.86,91.85,93.69,95.69,97.96,98.25,100.00,102.91,104.47,105.45,107.46,108.67,110.22,111.98,114.52,116.76,117.59,121.59,129.86
CYM,,,,,,,,,,,,,,99.72,100.00,101.33,102.53,104.75,106.08,103.59,102.94,,,,,,
CAF,71.51,72.66,71.29,70.29,72.54,75.32,77.08,80.26,78.60,80.87,86.29,87.11,95.18,98.53,100.00,101.19,106.74,114.20,131.21,133.05,139.63,145.47,147.82,151.79,154.38,160.96,
TCD,68.66,72.49,75.58,69.51,72.17,81.14,85.35,83.86,79.37,85.63,92.51,84.21,92.88,102.12,100.00,102.03,109.70,109.94,111.79,116.69,115.76,113.98,118.85,117.70,122.95,122.00,129.06
CHL,61.54,65.32,68.66,70.95,73.67,76.30,78.20,80.40,81.25,83.73,86.57,90.38,98.26,98.61,100.00,103.34,106.45,108.35,113.47,118.40,122.88,125.57,128.62,131.91,135.93,142.08,158.63
HKG,95.28,100.79,103.72,99.57,95.90,94.31,91.49,89.05,88.80,89.54,91.33,93.19,97.20,97.76,100.00,105.31,109.57,114.33,119.38,122.96,125.92,127.80,130.87,134.65,134.99,137.10,139.68
MAC,81.56,84.40,84.55,81.84,80.52,78.93,76.84,75.64,76.38,79.74,83.85,88.52,96.14,97.27,100.00,105.81,112.27,118.44,125.61,131.34,134.45,136.10,140.19,144.05,145.21,145.25,146.77
CHN,80.24,82.47,81.84,80.69,80.97,81.55,80.96,81.87,85.00,86.51,87.94,92.17,97.63,96.92,100.00,105.55,108.32,111.16,113.29,114.92,117.22,119.09,121.56,125.08,128.11,129.37,131.92
COL,34.19,40.51,48.07,53.30,58.22,62.85,66.85,71.61,75.84,79.67,83.09,87.70,93.84,97.78,100.00,103.42,106.69,108.84,112.00,117.59,126.42,131.88,136.15,140.95,144.51,149.56,164.78
COM,,,,,69.14,72.99,75.56,78.43,81.94,84.41,87.26,91.16,92.71,96.75,100.00,101.84,108.27,103.62,,,,,,,,,
COD,0.07,0.22,0.29,1.11,6.80,31.27,41.13,46.42,48.28,58.57,66.21,77.43,90.83,93.37,100.00,115.32,126.53,127.55,129.14,130.10,133.85,,,,,,
COG,64.34,,73.47,76.51,75.84,75.88,79.20,78.70,80.61,83.11,88.54,90.89,95.40,99.61,100.00,101.76,106.86,111.81,112.83,116.40,120.12,120.66,122.05,124.74,126.98,129.16,133.09
CRI,24.19,27.40,30.59,33.67,37.36,41.56,45.37,49.66,55.77,63.47,70.75,77.37,87.76,94.64,100.00,104.88,109.59,115.33,120.54,121.50,121.48,123.46,126.20,128.85,129.78,132.02,142.94
CIV,66.95,69.65,72.86,73.37,75.23,78.51,80.92,83.59,84.81,88.11,90.28,91.99,97.79,98.79,100.00,104.91,106.28,109.02,109.51,110.88,111.69,112.45,112.86,111.61,114.31,118.99,125.27
HRV,62.86,65.48,69.67,72.47,75.81,78.68,79.99,81.41,83.08,85.84,88.57,91.14,96.68,98.98,100.00,102.27,105.76,108.11,107.87,107.37,106.16,107.36,108.97,109.82,109.99,112.80,124.96
CUW,,,,,76.84,78.22,78.53,79.81,80.91,84.24,86.86,89.47,95.62,97.30,100.00,102.33,105.59,107.00,108.60,108.08,108.03,109.75,112.58,115.53,,,
CYP,69.15,71.64,73.24,74.43,77.51,79.04,81.26,84.62,86.55,88.77,90.81,92.97,97.31,97.63,100.00,103.29,105.76,105.33,103.91,101.73,100.27,100.81,102.25,102.51,101.86,104.35,113.11
CZE,61.07,66.32,73.42,74.99,77.82,81.45,83.00,83.09,85.39,86.97,89.18,91.72,97.55,98.55,100.00,101.92,105.27,106.78,107.15,107.48,108.22,110.87,113.25,116.48,120.16,124.77,143.61
DNK,74.42,76.04,77.44,79.38,81.68,83.59,85.62,87.39,88.40,90.01,91.74,93.30,96.48,97.74,100.00,102.76,105.22,106.05,106.65,107.13,107.40,108.63,109.52,110.35,110.81,112.86,121.55
DJI,,,,,70.07,71.30,71.75,73.17,75.46,77.80,80.51,84.51,94.61,96.20,100.00,105.07,108.99,111.94,113.44,112.48,115.56,116.22,116.39,120.25,122.39,,
DMA,76.15,78.01,78.79,79.72,80.40,81.45,81.59,82.77,84.75,86.18,88.08,91.28,97.08,97.09,100.00,101.13,102.50,102.46,103.27,102.40,102.55,102.85,103.87,105.43,104.67,,
DOM,24.46,26.49,27.77,29.56,31.85,34.68,36.49,46.50,70.43,73.38,78.94,83.79,92.71,94.05,100.00,105.80,109.71,115.01,118.45,119.44,121.37,125.35,129.82,132.17,137.17,148.48,161.56
ECU,8.61,11.25,15.31,23.31,45.70,62.92,70.77,76.39,78.48,80.18,82.83,84.71,91.83,96.57,100.00,104.47,109.80,112.79,116.84,121.48,123.58,124.09,123.81,124.14,123.72,123.89,128.18
EGY,39.19,41.00,42.59,43.90,45.08,46.10,47.36,49.50,55.08,57.76,62.17,67.97,80.42,89.88,100.00,110.06,117.89,129.06,142.05,156.78,178.44,231.09,264.38,288.57,303.13,318.94,363.25
SLV,64.80,67.71,69.44,69.79,71.38,74.06,75.44,77.04,80.47,84.24,87.64,91.65,97.80,98.83,100.00,105.13,106.95,107.76,108.99,108.19,108.84,109.95,111.14,111.23,110.82,114.66,122.91
GNQ,47.88,49.33,53.24,53.44,56.01,60.95,65.58,70.38,73.35,77.48,80.90,83.17,88.62,92.77,100.00,104.81,108.64,111.84,116.66,118.62,120.29,121.19,122.83,124.35,130.28,,
EST,51.68,57.15,61.85,63.88,66.45,70.27,72.78,73.75,76.00,79.10,82.61,88.06,97.19,97.11,100.00,104.98,109.11,112.15,112.03,111.47,111.64,115.46,119.42,122.14,121.60,127.26,151.94
SWZ,36.51,39.11,42.28,44.85,50.33,53.32,59.73,64.08,66.29,69.46,73.14,79.05,89.05,95.69,100.00,106.11,115.59,122.09,129.03,135.42,146.04,155.13,162.60,166.82,,,
