International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index"
MLT,71.42,73.65,75.40,77.01,78.84,81.15,82.92,84.00,86.35,88.95,91.41,92.55,96.50,98.51,100.00,102.96,105.41,106.65,106.98,108.16,108.86,110.34,111.62,113.45,114.18,115.89,123.02
MTQ,,,,,82.38,84.04,85.87,87.64,89.40,91.58,93.81,96.10,98.75,98.40,100.00,102.56,104.08,105.36,106.17,106.32,106.06,106.65,,,,,
MRT,43.76,45.79,49.46,51.48,53.15,55.66,57.83,60.81,67.11,75.25,79.95,85.74,92.04,94.09,100.00,105.69,110.87,115.45,119.53,123.42,125.23,128.06,131.98,135.02,138.24,143.17,156.81
MUS,44.76,47.82,51.07,54.60,56.89,59.96,63.81,66.31,69.43,72.86,79.36,86.36,94.77,97.15,100.00,106.52,110.63,114.55,118.23,119.75,120.92,125.36,129.39,129.91,133.27,138.64,153.57
MEX,35.47,42.78,49.60,57.82,63.31,67.34,70.73,73.95,77.42,80.50,83.42,86.73,91.18,96.01,100.00,103.41,107.66,111.76,116.25,119.41,122.78,130.20,136.58,141.54,146.35,154.68,166.89
FSM,,,,70.89,72.42,72.78,72.70,72.80,74.45,77.62,81.22,83.91,90.98,96.79,100.00,105.08,110.36,112.29,113.02,112.68,111.51,112.16,113.84,116.03,116.68,120.40,126.91
MDA,18.19,20.33,21.89,30.49,40.03,43.94,46.27,51.70,58.18,65.14,73.46,82.54,93.10,93.04,100.00,107.69,112.58,117.76,123.75,135.73,144.36,153.84,158.53,166.20,172.46,181.26,233.35
MNG,23.23,31.72,34.68,37.31,41.63,44.25,44.65,46.94,50.81,57.27,60.19,65.99,84.44,90.87,100.00,108.41,123.95,136.95,153.73,162.55,163.74,170.78,182.44,195.76,203.19,218.13,
MNE,,,,,,,,,,82.21,84.61,88.29,96.02,99.35,100.00,103.45,107.74,110.12,109.33,111.03,110.72,113.36,116.32,116.74,116.44,119.25,134.80
MSR,,,,,,77.93,81.03,81.97,84.51,86.77,88.44,90.84,95.29,97.95,100.00,103.67,108.61,109.55,109.13,107.88,107.62,108.90,110.33,109.15,107.08,108.87,
MAR,78.54,79.35,81.54,82.09,83.65,84.17,86.52,87.53,88.84,89.71,92.66,94.55,98.06,99.02,100.00,100.91,102.21,104.13,104.59,106.22,107.95,108.77,110.73,111.07,111.85,113.42,120.97
MOZ,,,,,,,,,57.24,60.92,68.99,74.85,85.70,88.95,100.00,111.17,114.06,118.92,121.96,126.29,148.29,170.70,177.38,182.31,188.04,198.74,
MMR,6.45,8.37,12.68,15.01,14.99,18.15,28.52,38.95,40.72,44.53,53.44,72.15,91.49,92.83,100.00,105.02,106.56,112.58,118.15,129.32,138.28,144.61,154.54,168.18,,,
NAM,,,,,,,62.57,67.04,69.81,71.41,74.95,79.86,87.12,95.35,100.00,105.01,112.06,118.34,124.67,128.90,137.58,146.03,152.30,157.97,161.46,167.30,177.47
NRU,,,,,,,,,,,,,,,100.00,100.30,100.18,,,,,,,,,,
NPL,43.76,45.51,50.63,54.40,55.75,57.25,58.99,62.35,64.13,68.51,73.25,74.91,82.33,91.47,100.00,109.23,119.56,130.37,141.27,152.39,165.78,171.80,178.77,188.73,198.27,206.37,
NLD,75.27,76.86,78.37,80.06,81.95,85.35,88.16,90.00,91.14,92.68,93.70,95.21,97.58,98.74,100.00,102.34,104.85,107.48,108.53,109.18,109.53,111.04,112.93,115.91,117.38,120.52,132.58
NCL,,,,,,,,,,,,,,,100.00,102.43,104.22,105.55,105.74,106.34,106.96,,,,,,
NZL,73.31,74.18,75.12,75.04,77.00,79.02,81.14,82.56,84.45,87.01,89.94,92.08,95.72,97.75,100.00,104.03,105.13,106.32,107.63,107.94,108.64,110.65,112.42,114.24,116.20,120.78,129.44
NIC,,,,42.70,45.72,48.45,50.27,52.93,57.42,62.93,68.68,76.32,91.46,94.83,100.00,108.08,115.86,124.12,131.62,136.88,141.70,147.16,154.44,162.74,168.73,177.05,195.58
NER,72.09,74.21,77.58,75.80,78.00,81.12,83.25,81.91,82.12,88.53,88.56,88.61,98.63,99.20,100.00,102.94,103.41,105.79,104.80,104.20,105.92,108.88,112.12,109.32,112.49,116.81,121.75
NGA,21.75,23.60,25.96,27.68,29.60,35.19,39.72,45.29,52.08,61.39,66.44,70.02,78.12,87.92,100.00,110.83,124.37,134.94,145.80,158.93,183.88,214.23,240.14,267.51,302.94,354.30,
MKD,74.55,75.51,75.92,74.95,79.91,84.06,86.01,86.74,86.35,86.81,89.60,91.61,99.25,98.51,100.00,103.90,107.35,110.34,110.03,109.70,109.44,110.92,112.53,113.40,114.76,118.46,135.29
NOR,74.03,75.93,77.64,79.48,81.93,84.39,85.48,87.60,88.00,89.35,91.43,92.08,95.54,97.64,100.00,101.28,101.99,104.15,106.28,108.59,112.44,114.55,117.72,120.27,121.82,126.06,133.33
OMN,,,,,74.77,74.16,73.95,74.12,74.58,76.01,78.70,83.29,93.60,96.85,100.00,104.04,107.11,108.23,109.34,109.41,110.62,112.39,113.38,113.53,112.50,114.24,117.46
PAK,33.76,37.60,39.94,41.60,43.41,44.78,46.25,47.60,51.14,55.78,60.20,64.77,77.91,88.54,100.00,111.92,122.75,132.19,141.70,145.28,150.75,156.91,164.88,182.32,200.08,219.08,262.62
PLW,,,,,,74.07,73.11,73.78,77.45,80.51,84.07,86.80,97.18,98.58,100.00,104.67,108.46,112.10,116.80,117.90,116.67,118.33,120.83,121.15,121.41,124.58,139.97
PAN,73.83,74.81,75.23,76.17,77.31,77.55,78.33,78.64,78.78,81.29,83.28,86.75,94.35,96.63,100.00,105.88,111.91,116.42,119.47,119.64,120.52,121.58,122.50,122.07,120.18,122.13,125.62
PNG,33.72,35.06,39.82,45.77,52.91,57.82,64.65,74.16,75.76,77.11,78.93,79.65,88.22,94.33,100.00,104.44,109.18,114.60,120.58,127.81,136.34,143.73,150.02,155.91,163.51,170.84,
PRY,34.07,36.44,40.65,43.39,47.29,50.73,56.06,64.04,66.81,71.35,78.20,84.56,93.14,95.56,100.00,108.25,112.23,115.25,121.04,124.83,129.93,134.61,139.96,143.82,146.36,153.37,168.35
PER,63.33,68.75,73.74,76.30,79.16,80.73,80.88,82.71,85.74,87.13,88.87,90.45,95.69,98.49,100.00,103.37,107.10,110.07,113.82,117.69,121.88,125.53,127.42,130.29,132.90,138.58,150.12
PHL,50.10,52.90,57.78,61.22,63.65,67.05,68.88,70.46,73.86,78.67,82.99,85.39,92.45,96.35,100.00,104.72,107.89,110.67,114.66,115.43,116.88,120.21,126.59,129.62,132.72,137.94,
POL,50.36,57.87,64.58,69.20,76.05,80.16,81.69,82.25,85.03,86.88,88.00,90.16,93.92,97.48,100.00,104.24,107.95,109.02,109.08,108.13,107.41,109.64,111.63,114.11,117.96,123.93,141.81
PRT,71.08,72.74,74.61,76.35,78.53,81.96,84.92,87.65,89.72,91.76,94.62,96.94,99.45,98.62,100.00,103.65,106.53,106.82,106.52,107.04,107.69,109.17,110.25,110.62,110.61,112.01,120.78
QAT,54.31,56.94,58.62,59.89,60.88,61.78,61.93,63.33,67.64,73.60,82.31,93.63,107.72,102.49,100.00,101.14,103.48,106.81,110.39,112.39,115.40,115.86,116.16,115.38,112.45,115.04,120.79
ROU,3.72,9.46,15.06,21.96,31.98,43.01,52.70,60.75,67.97,74.09,78.95,82.77,89.27,94.26,100.00,105.79,109.32,113.67,114.89,114.20,112.44,113.95,119.22,123.78,127.04,133.46,151.87
RUS,9.36,10.74,13.71,25.46,30.76,37.37,43.27,49.18,54.53,61.45,67.39,73.46,83.83,93.59,100.00,108.44,113.94,121.64,131.16,151.53,162.20,168.18,173.02,180.75,186.86,199.37,
RWA,38.72,43.37,46.07,44.96,46.71,48.27,49.23,52.90,59.38,64.74,70.49,76.89,88.76,100.25,100.00,103.08,113.67,120.40,123.24,126.35,135.42,146.63,146.17,151.07,165.95,165.30,194.54
WSM,51.92,55.48,56.71,56.86,57.41,59.62,64.42,64.49,75.01,76.41,79.23,83.65,93.33,99.23,100.00,105.24,107.39,108.05,107.61,108.39,109.80,111.72,116.41,117.56,115.71,119.34,132.42
SMR,,,,,,,,84.73,85.95,87.39,89.23,91.46,95.38,97.48,100.00,102.90,105.81,107.51,108.70,108.86,109.49,110.63,,,,,
STP,8.64,11.74,17.67,19.92,22.35,24.41,26.88,29.52,33.44,39.17,48.21,57.15,75.44,88.23,100.00,114.33,126.49,136.74,146.31,153.99,162.36,171.61,185.09,,,,
SAU,78.86,78.90,78.61,77.56,76.69,75.83,76.02,76.48,76.88,77.25,78.95,82.24,90.36,94.93,100.00,105.83,108.86,112.70,115.23,116.62,119.03,118.03,120.93,118.40,122.48,126.23,129.35
SEN,77.37,78.73,79.64,80.30,80.88,83.29,85.24,85.19,85.63,87.10,88.94,94.14,101.06,98.79,100.00,103.40,104.87,105.61,104.46,104.60,105.48,106.87,107.36,109.25,112.03,114.47,125.57
SRB,5.05,6.23,8.11,11.55,19.76,38.53,46.04,50.58,56.16,65.22,72.86,77.52,87.14,94.21,100.00,111.14,119.28,128.46,131.14,132.96,134.46,138.67,141.38,144.00,146.27,152.24,170.48
SYC,40.36,40.61,41.66,44.30,47.08,49.89,49.97,51.63,53.62,54.10,53.91,56.78,77.77,102.46,100.00,102.56,109.85,114.62,116.21,120.90,119.68,123.09,127.65,130.30,141.09,,
SLE,,,,,,,,,,,71.85,80.22,86.81,93.30,100.00,106.79,113.83,120.11,125.69,134.09,148.69,175.79,203.96,234.16,265.65,297.19,378.05
SGP,82.61,84.27,84.04,84.05,85.20,86.05,85.71,86.15,87.58,87.95,88.80,90.67,96.68,97.25,100.00,105.25,110.06,112.66,113.81,113.22,112.62,113.27,113.76,114.41,114.20,116.83,123.98
SXM,,,,,,,,,,89.28,89.55,93.52,93.13,98.68,100.00,104.58,108.78,111.53,113.64,114.01,114.14,116.64,,,,,
SVK,46.63,49.49,52.79,58.37,65.40,70.19,72.39,78.58,84.51,86.80,90.69,93.19,97.48,99.05,100.00,103.92,107.67,109.17,109.09,108.74,108.17,109.59,112.35,115.34,117.57,121.28,136.77
SVN,49.22,53.34,57.55,61.09,66.54,72.11,77.50,81.80,84.74,86.82,88.95,92.21,97.41,98.23,100.00,101.80,104.45,106.29,106.51,105.95,105.89,107.40,109.27,111.05,110.99,113.12,123.11
SLB,31.50,34.05,38.27,41.34,44.60,47.69,52.91,57.28,61.28,65.78,73.16,78.76,92.41,98.96,100.00,107.34,113.69,119.82,126.01,125.28,125.93,126.54,130.92,133.06,137.01,136.85,144.40
ZAF,46.58,50.58,54.06,56.86,59.90,63.32,69.33,73.27,72.76,74.26,76.67,81.40,89.61,96.07,100.00,105.00,111.01,117.43,124.63,130.29,138.85,146.05,152.65,158.94,164.04,171.60,183.68
SSD,,,,,,,,,,,,,94.13,98.84,100.00,146.85,213.71,213.58,217.16,331.75,"1,592.38","4,583.71","8,411.17","15,749.19","20,422.89","22,570.71","21,061.34"
ESP,69.09,70.46,71.75,73.41,75.93,78.65,81.06,83.53,86.06,88.96,92.09,94.66,98.52,98.23,100.00,103.20,105.72,107.21,107.05,106.51,106.30,108.38,110.19,110.96,110.60,114.02,123.59
LKA,27.39,30.01,32.82,34.36,36.48,41.65,45.62,48.50,52.18,58.25,64.09,74.24,90.99,94.15,100.00,106.72,114.77,122.69,126.60,131.37,136.57,147.09,150.23,155.53,165.10,176.68,
KNA,60.62,66.02,68.30,70.59,72.11,73.77,75.28,76.96,78.74,81.40,88.31,92.27,97.16,99.16,100.00,105.84,106.70,107.88,108.15,105.66,104.93,105.66,104.57,104.22,103.00,104.24,107.02
LCA,70.44,70.43,72.69,75.23,78.03,82.17,81.96,82.81,84.01,87.29,89.38,91.90,97.00,96.85,100.00,102.77,107.06,108.64,112.46,111.35,107.92,108.03,110.13,110.72,108.78,111.40,118.50
VCT,71.38,71.70,73.24,73.98,74.10,74.77,76.16,76.32,78.57,81.51,83.74,89.80,98.84,99.26,100.00,103.19,105.87,106.72,106.93,105.07,104.92,107.17,109.67,110.67,109.97,111.70,118.02
SDN,15.57,22.92,28.56,33.46,35.84,36.54,44.66,47.55,52.15,56.58,60.66,69.61,79.56,88.51,100.00,118.10,160.09,218.56,299.22,349.82,411.91,545.17,890.23,"1,344.19","3,364.82","16,245.89","38,796.56"
SUR,7.17,7.68,9.14,18.17,28.97,40.14,46.38,57.04,62.74,68.95,76.73,81.66,93.63,93.51,100.00,117.71,123.61,125.98,130.25,139.22,216.37,263.97,,294.68,397.50,632.49,964.21
SWE,84.73,85.29,85.06,85.46,86.23,88.30,90.21,91.94,92.29,92.71,93.97,96.05,99.35,98.86,100.00,102.96,103.88,103.83,103.64,103.59,104.61,106.49,108.57,110.51,111.06,113.46,122.96
CHE,89.14,89.60,89.62,90.34,91.75,92.66,93.25,93.85,94.60,95.71,96.72,97.43,99.80,99.32,100.00,100.23,99.54,99.32,99.31,98.17,97.75,98.27,99.19,99.55,98.82,99.40,102.22
SYR,61.66,62.82,62.32,60.02,57.71,59.44,59.36,62.80,65.59,70.33,77.38,80.41,93.07,95.79,100.00,104.75,143.20,,,,,,,,,,
TJK,,,,,28.35,39.29,44.10,51.29,54.96,58.85,64.74,73.26,88.25,93.94,100.00,112.43,118.99,124.95,132.58,140.15,148.57,,,,,,
TZA,34.55,40.11,45.25,48.82,51.71,54.37,57.26,60.30,63.15,66.33,71.14,76.14,83.97,94.16,100.00,112.69,130.72,141.01,149.66,158.02,166.20,175.04,181.15,187.43,193.60,200.74,209.48
THA,66.56,70.30,75.92,76.14,77.35,78.61,79.16,80.59,82.81,86.57,90.59,92.62,97.68,96.85,100.00,103.81,106.94,109.28,111.35,110.34,110.55,111.29,112.47,113.27,112.31,113.69,120.60
TLS,,,,,,,66.52,71.29,73.59,74.41,77.34,85.31,93.04,93.66,100.00,113.50,126.89,140.84,142.03,142.95,140.85,141.58,144.83,146.22,,,
TGO,66.94,72.46,73.17,73.13,74.49,77.41,79.78,79.04,79.35,84.73,86.62,87.44,95.05,98.57,100.00,103.56,106.23,108.17,108.38,111.18,112.61,111.50,112.54,113.31,115.38,,
TON,40.72,41.58,42.94,44.86,47.70,51.65,57.00,63.64,70.62,76.74,81.46,86.22,95.23,96.59,100.00,106.27,107.49,108.32,111.04,109.87,112.71,121.18,127.28,128.78,128.33,135.57,150.44
TTO,43.55,45.13,47.66,49.30,51.05,53.88,56.12,58.25,60.42,64.58,69.95,75.48,84.56,90.46,100.00,105.11,114.84,120.81,127.68,133.63,137.73,140.32,141.75,143.17,144.03,147.00,
TUN,65.47,67.86,69.98,71.86,73.99,75.46,77.51,79.61,82.50,84.17,86.88,89.46,93.35,96.77,100.00,103.24,108.00,113.74,119.00,124.28,128.80,135.63,145.54,155.33,164.08,173.44,187.85
TUR,2.35,4.37,8.06,13.29,20.59,31.80,46.10,56.05,60.87,65.85,72.17,78.49,86.69,92.11,100.00,106.47,115.94,124.63,135.66,146.07,157.42,174.97,203.55,234.44,263.22,314.81,542.44
TUV,,,,,,,,,,,,,,,100.00,100.50,,,,,,,,,,,
UGA,45.36,49.07,49.10,51.94,53.70,54.70,54.54,59.28,61.48,66.68,71.55,75.95,85.10,96.18,100.00,116.56,131.34,137.79,142.02,149.96,158.52,166.78,171.14,176.05,181.88,185.89,199.27
UKR,17.28,20.03,22.15,27.18,34.84,39.01,39.31,41.34,45.08,51.20,55.84,63.01,78.90,91.43,100.00,107.96,108.57,108.31,121.39,180.50,205.61,235.30,261.07,281.66,289.35,316.45,380.32
ARE,,,,,,,,,,,,86.95,97.61,99.13,100.00,100.88,101.55,102.66,105.07,109.35,111.12,113.30,116.78,114.52,112.14,112.13,117.54
GBR,76.04,77.71,79.13,80.52,81.47,82.72,83.97,85.13,86.31,88.12,90.28,92.44,95.69,97.57,100.00,103.86,106.53,108.97,110.55,110.96,112.08,114.94,117.58,119.62,120.81,123.85,133.66
USA,71.93,73.61,74.76,76.39,78.97,81.20,82.49,84.36,86.62,89.56,92.45,95.09,98.74,98.39,100.00,103.16,105.29,106.83,108.57,108.70,110.07,112.41,115.16,117.24,118.69,124.27,134.21
URY,29.58,35.44,39.27,41.49,43.47,45.37,51.70,61.73,67.38,70.54,75.06,81.15,87.54,93.72,100.00,108.09,116.85,126.87,138.13,150.10,164.57,174.80,188.10,202.92,222.72,239.98,261.82
UZB,,,,,,,,,,,,,,,100.00,113.78,128.81,144.06,157.43,171.21,185.13,210.82,247.77,283.76,320.27,355.02,395.66
VUT,67.65,69.57,71.85,73.29,75.15,77.83,79.36,81.76,82.92,83.91,85.62,88.99,93.30,97.31,100.00,100.87,102.23,103.72,104.55,107.15,108.05,111.38,113.98,117.13,123.37,126.26,
VEN,,,,,,,,,,,,,61.39,78.01,100.00,126.09,152.66,214.69,348.17,772.02,"2,740.27",,,,,,
VNM,42.45,43.81,46.99,48.93,48.09,47.88,49.72,51.32,55.30,59.88,64.33,69.69,85.81,91.57,100.00,118.68,129.47,138.01,143.64,144.55,148.41,153.63,159.07,163.52,168.78,171.88,177.31
PSE,54.92,58.81,62.09,65.53,67.37,68.19,72.08,75.26,77.52,80.70,83.80,85.36,93.80,96.39,100.00,102.88,105.74,107.56,109.42,110.99,110.75,110.98,110.77,112.52,111.69,113.07,
YEM,27.82,28.43,30.13,32.74,34.24,38.32,43.01,47.67,53.63,59.97,66.47,71.72,85.33,89.95,100.00,119.54,131.36,145.77,157.58,,,,,,,,
ZMB,9.63,11.98,14.91,18.91,23.83,28.93,35.36,42.92,50.64,59.92,65.32,72.28,81.28,92.16,100.00,106.43,113.43,121.34,130.82,144.04,169.78,180.95,194.51,212.31,245.71,299.82,332.78
ZWE,,,,,,,,,,,,,,97.07,100.00,103.47,107.32,109.08,108.86,106.21,104.57,105.51,116.71,414.68,"2,725.31","5,411.00","11,076.60"
