Source,Target,1201 in 1000 USD ,Year
BRA,AGO,3.13,2015
BRA,AGO,97.441,2016
BRA,AGO,158.962,2017
BRA,AGO,6.473,2019
BRA,AGO,209.182,2020
BRA,AGO,670.13,2021
BRA,AGO,638.329,2022
BRA,ARE,36558.94,2004
BRA,ARE,12966.624,2005
BRA,ARE,38427.761,2006
BRA,ARE,37324.414,2007
BRA,ARE,33.476,2011
BRA,ARE,14884.315,2013
BRA,ARE,23981.037,2014
BRA,ARE,23070.408,2022
BRA,ARG,8528.544,1997
BRA,ARG,80.5,1998
BRA,ARG,87.012,2000
BRA,ARG,139.925,2002
BRA,ARG,5409.7,2003
BRA,ARG,4151.501,2004
BRA,ARG,3538.879,2005
BRA,ARG,7141.805,2006
BRA,ARG,6.985,2008
BRA,ARG,4613.536,2009
BRA,ARG,0.307,2011
BRA,ARG,846.568,2012
BRA,ARG,623.801,2013
BRA,ARG,1263.165,2014
BRA,ARG,125.009,2015
BRA,ARG,6959.277,2016
BRA,ARG,60432.077,2017
BRA,ARG,245864.636,2018
BRA,ARG,119679.53,2019
BRA,ARG,124562.437,2020
BRA,ARG,90842.375,2021
BRA,ARG,180353.732,2022
BRA,AUS,2221.582,2007
BRA,AUS,49160.283,2008
BRA,BEL,75582.804,1999
BRA,BEL,58716.748,2000
BRA,BEL,139905.231,2001
BRA,BEL,124590.762,2002
BRA,BEL,148140.395,2003
BRA,BEL,38023.605,2004
BRA,BEL,7827.252,2005
BRA,BEL,104112.705,2006
BRA,BEL,139106.188,2007
BRA,BEL,70877.368,2008
BRA,BEL,102048.552,2009
BRA,BEL,9965.109,2010
BRA,BEL,42040.547,2011
BRA,BEL,26369.522,2012
BRA,BEL,7821.502,2014
BRA,BEL,89022.649,2018
BRA,BEL,34.048,2019
BRA,BEL,46950.62,2020
BRA,BEL,32116.181,2021
BRA,BEL,167217.618,2022
BRA,BEN,108.256,2017
BRA,BGD,21668.685,2004
BRA,BGD,16628.299,2008
BRA,BGD,52599.042,2009
BRA,BGD,19017.406,2010
BRA,BGD,26334.766,2011
BRA,BGD,23782.799,2012
BRA,BGD,20436.421,2013
BRA,BGD,24128.911,2014
BRA,BGD,1351.966,2015
BRA,BGD,20352.866,2016
BRA,BGD,31045.472,2018
BRA,BGD,149483.445,2019
BRA,BGD,236615.687,2020
BRA,BGD,410135.883,2021
BRA,BGD,640732.055,2022
BRA,BHR,711.193,2014
BRA,BHR,0.011,2019
BRA,BHS,5235.49,2017
BRA,BHS,0.145,2019
BRA,BIH,26.25,2016
BRA,BLX,34305.408,1997
BRA,BLX,100157.8,1998
BRA,BLZ,90.089,2001
BRA,BOL,9837.731,1997
BRA,BOL,15384.132,1998
BRA,BOL,13835.52,1999
BRA,BOL,25651.709,2000
BRA,BOL,24197.213,2001
BRA,BOL,38104.432,2002
BRA,BOL,32784.208,2003
BRA,BOL,35147.469,2004
BRA,BOL,23876.478,2005
BRA,BOL,36961.119,2006
BRA,BOL,35780.753,2007
BRA,BOL,19344.637,2008
BRA,BOL,6030.799,2009
BRA,BOL,1.605,2010
BRA,BOL,0.04,2011
BRA,BOL,5.726,2012
BRA,BOL,4.503,2013
BRA,BOL,13.565,2014
BRA,BOL,10.23,2015
BRA,BOL,15.525,2016
BRA,BOL,2.079,2017
BRA,BOL,2.782,2018
BRA,BOL,21.195,2019
BRA,BOL,0.663,2021
BRA,CAN,147.107,2004
BRA,CAN,68.464,2005
BRA,CAN,0.187,2008
BRA,CAN,232.421,2009
BRA,CAN,0.001,2012
BRA,CAN,15644.379,2021
BRA,CHE,54.625,1998
BRA,CHE,672.59,2000
BRA,CHE,16.8,2001
BRA,CHE,295.831,2002
BRA,CHE,741.615,2003
BRA,CHE,49.664,2004
BRA,CHE,0.668,2005
BRA,CHE,66218.783,2008
BRA,CHE,11497.271,2009
BRA,CHE,0.06,2012
BRA,CHE,1808.8,2013
BRA,CHE,0.057,2015
BRA,CHE,0.367,2016
BRA,CHE,7825.272,2018
BRA,CHE,2026.381,2019
BRA,CHE,15170.778,2021
BRA,CHE,1474.029,2022
BRA,CHL,2957.82,2000
BRA,CHL,1204.019,2001
BRA,CHL,5129,2004
BRA,CHL,4744.656,2005
BRA,CHL,0.018,2009
BRA,CHL,1.464,2012
BRA,CHL,4.57,2013
BRA,CHL,14.07,2016
BRA,CHL,0.002,2019
BRA,CHL,0.655,2020
BRA,CHL,2.836,2021
BRA,CHN,89827.896,1997
BRA,CHN,221631.04,1998
BRA,CHN,111289.569,1999
BRA,CHN,337350.321,2000
BRA,CHN,537663.759,2001
BRA,CHN,823446.123,2002
BRA,CHN,1313073.236,2003
BRA,CHN,1621735.722,2004
BRA,CHN,1710492.943,2005
BRA,CHN,2428650.146,2006
BRA,CHN,2831860.767,2007
BRA,CHN,5324052.177,2008
BRA,CHN,6342964.92,2009
BRA,CHN,7133440.544,2010
BRA,CHN,10951902.03,2011
BRA,CHN,12028317.83,2012
BRA,CHN,17147972.47,2013
BRA,CHN,16615159.62,2014
BRA,CHN,15787785.73,2015
BRA,CHN,14386114.6,2016
BRA,CHN,20310207.68,2017
BRA,CHN,27233070.72,2018
BRA,CHN,20452339.45,2019
BRA,CHN,20903176.75,2020
BRA,CHN,27208101.3,2021
BRA,CHN,31848677.68,2022
BRA,CIV,22,2009
BRA,CIV,12.8,2010
BRA,CMR,26.63,2013
BRA,COG,7.02,2002
BRA,COG,3.146,2011
BRA,COG,6.505,2012
BRA,COG,4.565,2016
BRA,COL,2238.729,1997
BRA,COL,875,1998
BRA,COL,1894.755,2000
BRA,COL,2506.385,2004
BRA,COL,4790.549,2005
BRA,COL,1551.703,2008
BRA,COL,2754.166,2009
BRA,COL,26.35,2010
BRA,COL,22.664,2011
BRA,COL,2626.204,2012
BRA,COL,0.608,2013
BRA,COL,10.358,2016
BRA,COL,8726.637,2017
BRA,COL,1.385,2019
BRA,COL,6.597,2020
BRA,COL,524.843,2021
BRA,COL,516.479,2022
BRA,CPV,0.173,2009
BRA,CPV,0.661,2010
BRA,CPV,0.99,2011
BRA,CPV,0.32,2013
BRA,CRI,3848.742,1997
BRA,CRI,2059.199,1998
BRA,CRI,5175.66,2004
BRA,CUB,3261.553,1997
BRA,CUB,2606.854,1998
BRA,CUB,3905.665,1999
BRA,CUB,2782.201,2000
BRA,CUB,6006.2,2001
BRA,CUB,800.098,2002
BRA,CUB,46.2,2003
BRA,CUB,7756.278,2005
BRA,CUB,104.73,2006
BRA,CUB,89.586,2008
BRA,CUB,108,2009
BRA,CUB,13080.027,2011
BRA,CUB,10303.086,2012
BRA,CUB,107.496,2013
BRA,CUB,102.436,2015
BRA,CUW,446.716,2011
BRA,CYM,118.908,1997
BRA,CYM,174.539,1999
BRA,CYM,17166.568,2002
BRA,CYM,1660.514,2003
BRA,CYM,24500.441,2008
BRA,CYM,137.595,2011
BRA,CYM,550,2014
BRA,CYM,825.074,2018
BRA,CYM,635.7,2021
BRA,CYP,0.013,2020
BRA,DEU,128282.288,1997
BRA,DEU,257635.76,1998
BRA,DEU,155365.282,1999
BRA,DEU,201073.269,2000
BRA,DEU,279417.59,2001
BRA,DEU,307517.289,2002
BRA,DEU,493473.175,2003
BRA,DEU,498238.872,2004
BRA,DEU,224313.964,2005
BRA,DEU,242608.417,2006
BRA,DEU,117481.674,2007
BRA,DEU,475641.419,2008
BRA,DEU,453783.308,2009
BRA,DEU,134550.576,2010
BRA,DEU,189031.775,2011
BRA,DEU,284638.122,2012
BRA,DEU,167631.082,2013
BRA,DEU,327154.918,2014
BRA,DEU,176189.427,2015
BRA,DEU,272150.52,2016
BRA,DEU,20565.312,2017
BRA,DEU,93989.199,2018
BRA,DEU,20256.834,2019
BRA,DEU,11052.832,2020
BRA,DEU,548.964,2021
BRA,DNK,3193.778,1998
BRA,DNK,1511.58,1999
BRA,DNK,24,2000
BRA,DNK,61.138,2001
BRA,DNK,1053.52,2002
BRA,DNK,5554.963,2003
BRA,DNK,21.442,2007
BRA,DNK,13738.059,2008
BRA,DNK,4710.101,2009
BRA,DNK,4942.084,2010
BRA,DNK,2252.018,2014
BRA,DNK,0.028,2019
BRA,DNK,0.007,2021
BRA,DNK,0.048,2022
BRA,DOM,44.061,1998
BRA,DOM,6.446,2000
BRA,DOM,1904.288,2019
BRA,DZA,31.585,2004
BRA,DZA,1665.326,2008
BRA,DZA,15.628,2012
BRA,DZA,17.489,2013
BRA,DZA,23.916,2016
BRA,DZA,14.175,2018
BRA,DZA,207.569,2019
BRA,DZA,119028.358,2020
BRA,DZA,275995.562,2021
BRA,DZA,525791.335,2022
BRA,EGY,3775,1997
BRA,EGY,5803.54,2000
BRA,EGY,512.982,2001
BRA,EGY,1874.557,2004
BRA,EGY,8224.301,2005
BRA,EGY,41081.162,2007
BRA,EGY,8489.744,2008
BRA,EGY,72374.5,2009
BRA,EGY,8305.353,2011
BRA,EGY,142637.786,2014
BRA,EGY,209459.243,2015
BRA,EGY,13665.786,2016
BRA,EGY,39505.689,2017
BRA,EGY,55438.556,2018
BRA,EGY,52879.209,2021
BRA,EGY,119069.081,2022
BRA,ESP,239978.032,1997
BRA,ESP,221128.192,1998
BRA,ESP,251217.058,1999
BRA,ESP,223032.882,2000
BRA,ESP,232684.699,2001
BRA,ESP,223586.719,2002
BRA,ESP,334061.389,2003
BRA,ESP,418310.463,2004
BRA,ESP,481285.925,2005
BRA,ESP,428357.415,2006
BRA,ESP,659924.669,2007
BRA,ESP,1161601.262,2008
BRA,ESP,791891.231,2009
BRA,ESP,740226.554,2010
BRA,ESP,1192918.326,2011
BRA,ESP,1130223.512,2012
BRA,ESP,1058680.239,2013
BRA,ESP,1072905.253,2014
BRA,ESP,909472.45,2015
BRA,ESP,598682.311,2016
BRA,ESP,757680.547,2017
BRA,ESP,739563.82,2018
BRA,ESP,756712.458,2019
BRA,ESP,956739.886,2020
BRA,ESP,1665074.447,2021
BRA,ESP,1939555.034,2022
BRA,FIN,7781.809,2002
BRA,FIN,9385.8,2003
BRA,FIN,5502,2004
BRA,FIN,30.633,2005
BRA,FIN,8.248,2007
BRA,FIN,19826.973,2013
BRA,FIN,24163.544,2014
BRA,FIN,226.055,2015
BRA,FIN,325.288,2016
BRA,FIN,446.897,2017
BRA,FIN,503.497,2018
BRA,FIN,154.484,2019
BRA,FIN,174.505,2020
BRA,FIN,27.054,2021
