Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
UNS,Unspecified,11,0,11,10045.57,0,10045.57,0,0,0,0,0.048553,0,0.010928,0.218182,0.248248,0,8
URY,Uruguay,4,0,4,193.584,0,193.584,0,0,0,0,0.014074,0,0.00328,0.166667,0.063395,0,25
USA,United States,37,123,160,32668.568,4826789.688,4859458.256,2,0.704319,0.790094,6290.527125,0.161124,0.375907,0.016029,0.071859,0.827276,0,107
UZB,Uzbekistan,3,0,3,38.561,0,38.561,0,0,0,0,0.009325,0,0.003509,0.5,0.08864,0,3
VCT,Saint Vincent and the Grenadines,2,0,2,27.202,0,27.202,0,0,0,0,0.009345,0,0.002241,1,0.032524,0,57
VEN,Venezuela,4,1,5,7203.676,14828.052,22031.728,5,0.275683,0.288522,0,0.02094,0.001176,0.003194,0.666667,0.071325,0,107
VGB,British Virgin Islands,1,0,1,0.215,0,0.215,0,0,0,0,0.001659,0,0.002049,0,0.004773,0,58
VNM,Vietnam,17,8,25,239135.824,1356.101,240491.925,4,0.382671,0.414701,312.496091,0.115165,0.035998,0.007972,0.45671,0.556292,0,107
WSM,Samoa,1,0,1,0.727,0,0.727,0,0,0,0,0.00109,0,0.002422,0,0.027483,0,27
YEM,Yemen,3,0,3,7229.423,0,7229.423,0,0,0,0,0.027877,0,0.002967,0.5,0.093771,0,36
ZAF,South Africa,17,51,68,13037.148,19790.471,32827.619,3,0.542199,0.606132,1863.044466,0.108728,0.149365,0.008137,0.118099,0.409991,0,107
ZAR,Congo [DRC],7,0,7,1244.191,0,1244.191,0,0,0,0,0.040696,0,0.003208,0.285714,0.13519,0,10
ZMB,Zambia,3,9,12,8475.013,4197.231,12672.244,4,0.378571,0.409984,10.296938,0.008072,0.023788,0.002752,0.222222,0.030384,0,107
ZWE,Zimbabwe,5,7,12,20226.008,1238.761,21464.769,4,0.394052,0.42217,53.320346,0.008841,0.026063,0.003855,0.347222,0.047577,0,107
CCK,,1,0,1,2.346,0,2.346,0,0,0,0,0.005142,0,0.002173,0,0.039075,0,90
FSM,,1,0,1,26.998,0,26.998,0,0,0,0,0.005142,0,0.002173,0,0.039075,0,89
NFK,,2,0,2,0.158,0,0.158,0,0,0,0,0.006232,0,0.002665,1,0.066559,0,30
SLB,,1,0,1,0.57,0,0.57,0,0,0,0,0.005142,0,0.002173,0,0.039075,0,35
ABW,,5,0,5,10.651,0,10.651,0,0,0,0,0.038539,0,0.00324,0.35,0.08996,0,17
AIA,,3,0,3,3.666,0,3.666,0,0,0,0,0.025306,0,0.002352,1,0.07974,0,65
BMU,,3,0,3,9.766,0,9.766,0,0,0,0,0.027131,0,0.002376,0.833333,0.084656,0,67
SPM,,1,0,1,0.01,0,0.01,0,0,0,0,0.007686,0,0.002123,0,0.027752,0,66
PRK,,2,0,2,262.434,0,262.434,0,0,0,0,0.01567,0,0.00247,0.5,0.068601,0,26
NER,,2,0,2,205.208,0,205.208,0,0,0,0,0.007204,0,0.002531,0.5,0.030974,0,71
GNQ,,2,0,2,1.381,0,1.381,0,0,0,0,0.003104,0,0.005155,0.5,0.039275,0,72
SDN,,7,0,7,2527.21,0,2527.21,0,0,0,0,0.049491,0,0.003286,0.357143,0.16377,0,23
ANT,,5,0,5,26.042,0,26.042,0,0,0,0,0.047704,0,0.00298,0.4,0.134872,0,76
DJI,,2,0,2,142.854,0,142.854,0,0,0,0,0.01221,0,0.002406,0,0.039797,0,56
ATA,,2,0,2,2.941,0,2.941,0,0,0,0,0.019757,0,0.002248,0,0.051342,0,102
FLK,,2,0,2,68.688,0,68.688,0,0,0,0,0.019757,0,0.002248,0,0.051342,0,101
MNG,,3,0,3,18.168,0,18.168,0,0,0,0,0.030464,0,0.002672,0.333333,0.085439,0,98
TUV,,1,0,1,3.241,0,3.241,0,0,0,0,0.000502,0,0.002542,0,0.008445,0,33
KNA,,2,0,2,3.235,0,3.235,0,0,0,0,0.016323,0,0.002735,1,0.055055,0,63
TCA,,2,0,2,4.601,0,4.601,0,0,0,0,0.011895,0,0.002366,0,0.034468,0,38
TCD,,2,0,2,1777.958,0,1777.958,0,0,0,0,0.027249,0,0.002143,1,0.076559,0,37
TJK,,3,0,3,104.226,0,104.226,0,0,0,0,0.004927,0,0.004003,0.333333,0.080491,0,6
DMA,,2,0,2,1816.63,0,1816.63,0,0,0,0,0.016569,0,0.002375,0.5,0.052341,0,61
ERI,,1,0,1,0.407,0,0.407,0,0,0,0,0.000654,0,0.00221,0,0.014527,0,85
SOM,,2,0,2,1195.727,0,1195.727,0,0,0,0,0.001277,0,0.002427,1,0.01764,0,81
GRD,,3,0,3,466.09,0,466.09,0,0,0,0,0.017652,0,0.004681,0.666667,0.056882,0,59
BLZ,,2,0,2,9.234,0,9.234,0,0,0,0,0.00183,0,0.003746,0,0.029834,0,21
ATG,,2,0,2,4.991,0,4.991,0,0,0,0,0.017621,0,0.00216,1,0.051989,0,64
SXM,,1,0,1,7,0,7,0,0,0,0,0.015962,0,0.002041,0,0.047216,0,106
SHN,,1,0,1,0.179,0,0.179,0,0,0,0,0.006342,0,0.002066,0,0.023634,0,104
