Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
MDA,Moldova,8,1,9,529.19,1.471,530.661,5,0.278581,0.293711,0.196429,0.045043,0.005578,0.00537,0.482143,0.238598,0,107
MDG,Madagascar,3,1,4,185.689,0.028,185.717,4,0.327666,0.340802,0.424242,0.024068,0.006634,0.002468,0.333333,0.07832,0,107
MDV,Maldives,1,0,1,1.578,0,1.578,0,0,0,0,0.003483,0,0.002074,0,0.009688,0,43
MEX,Mexico,7,12,19,1531308.557,869.75,1532178.307,3,0.435318,0.46934,173.74448,0.057717,0.034032,0.003614,0.225,0.204596,0,107
MHL,Marshall Islands,1,0,1,0.27,0,0.27,0,0,0,0,0.006213,0,0.002086,0,0.028908,0,96
MKD,North Macedonia,12,3,15,3789.092,7.993,3797.085,4,0.33281,0.35456,6.72207,0.072814,0.011315,0.00779,0.484848,0.341634,0,107
MLI,Mali,2,0,2,834.687,0,834.687,0,0,0,0,0.017687,0,0.00228,1,0.058562,0,70
MLT,Malta,7,0,7,887.19,0,887.19,0,0,0,0,0.059548,0,0.003434,0.928571,0.293636,0,14
MMR,Myanmar,8,4,12,4950.92,1369.939,6320.859,4,0.358108,0.378538,2.218237,0.058645,0.020282,0.003292,0.598485,0.211402,0,107
MNP,Northern Mariana Islands,1,0,1,0.061,0,0.061,0,0,0,0,0.006213,0,0.002086,0,0.028908,0,95
MNT,Montenegro,4,0,4,462.585,0,462.585,0,0,0,0,0.031741,0,0.002858,0.583333,0.090981,0,50
MOZ,Mozambique,9,1,10,28996.677,124.486,29121.163,4,0.324159,0.334513,5.147206,0.052551,0.005245,0.003953,0.411111,0.17664,0,107
MRT,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0,3,112
MUS,Mauritius,6,0,6,752.214,0,752.214,0,0,0,0,0.034264,0,0.003258,0.5,0.165268,0,41
MWI,Malawi,3,11,14,690.267,49360.985,50051.252,4,0.370629,0.40566,47.77289,0.008103,0.014668,0.002814,0.218182,0.041797,0,107
MYS,Malaysia,18,29,47,73111.67,44183.529,117295.199,3,0.498824,0.544811,895.999614,0.109927,0.097671,0.009766,0.216667,0.514535,0,107
NAM,Namibia,2,1,3,1594.854,2.011,1596.865,1,1,1,0,0.007352,0.001777,0.002326,0.666667,0.026153,0,80
NCL,New Caledonia,5,0,5,4565.447,0,4565.447,0,0,0,0,0.042114,0,0.003026,0.5,0.16296,0,31
NGA,Nigeria,13,3,16,3347.704,286.572,3634.276,5,0.280053,0.29772,106.659948,0.090356,0.009059,0.005503,0.3,0.305727,0,107
NIC,Nicaragua,4,3,7,54134.429,13.511,54147.94,4,0.305916,0.321148,5.741222,0.017778,0.005001,0.005619,0.583333,0.073329,0,107
NLD,Netherlands,29,63,92,122884.571,1411811.344,1534695.915,4,0.53944,0.623821,1622.947809,0.164277,0.270755,0.012561,0.149648,0.849956,0,107
NOR,Norway,13,3,16,2093.083,12.337,2105.42,4,0.33125,0.352987,15.283409,0.110359,0.01324,0.005831,0.538462,0.439003,0,107
NPL,Nepal,1,0,1,1605.797,0,1605.797,0,0,0,0,0.011287,0,0.002033,0,0.029343,0,40
NZL,New Zealand,17,11,28,11310.337,639.366,11949.703,4,0.362393,0.397406,289.847069,0.110031,0.02567,0.006361,0.29,0.484929,0,107
